Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0888 +/- 0.0159,0.1856 +/- 0.0198,0.1029 +/- 0.017,0.1253 +/- 0.0173,0.1496 +/- 0.0224,0.1293 +/- 0.0174
MAR,0.2,0.0905 +/- 0.0176,0.1541 +/- 0.0223,0.0952 +/- 0.0213,0.1089 +/- 0.0167,0.1387 +/- 0.0369,0.124 +/- 0.0235
MAR,0.3,0.1006 +/- 0.0084,0.1587 +/- 0.0135,0.1135 +/- 0.0095,0.1188 +/- 0.0135,0.1413 +/- 0.0116,0.138 +/- 0.0163
MAR,0.4,0.0937 +/- 0.0106,0.1464 +/- 0.0164,0.1052 +/- 0.0105,0.1066 +/- 0.0111,0.1266 +/- 0.0245,0.1324 +/- 0.0172
MAR,0.5,0.0823 +/- 0.0121,0.1367 +/- 0.0126,0.0929 +/- 0.0141,0.0929 +/- 0.0093,0.1284 +/- 0.0128,0.1116 +/- 0.0156
MCAR,0.1,0.0712 +/- 0.0074,0.1205 +/- 0.0085,0.0777 +/- 0.0088,0.0856 +/- 0.0095,0.1212 +/- 0.0199,0.1157 +/- 0.0071
MCAR,0.2,0.0823 +/- 0.0061,0.1304 +/- 0.007,0.0947 +/- 0.007,0.0963 +/- 0.0049,0.1153 +/- 0.0077,0.1272 +/- 0.0077
MCAR,0.3,0.0869 +/- 0.0053,0.1304 +/- 0.005,0.1019 +/- 0.0022,0.0988 +/- 0.0042,0.1228 +/- 0.0068,0.1284 +/- 0.0022
MCAR,0.4,0.0898 +/- 0.0053,0.1311 +/- 0.0039,0.0993 +/- 0.0049,0.0987 +/- 0.004,0.1274 +/- 0.0127,0.1278 +/- 0.0056
MCAR,0.5,0.0951 +/- 0.0066,0.1276 +/- 0.0059,0.1015 +/- 0.0047,0.0986 +/- 0.0058,0.1269 +/- 0.0098,0.1275 +/- 0.0052
MNAR,0.1,0.0743 +/- 0.005,0.1422 +/- 0.0028,0.0955 +/- 0.0077,0.0941 +/- 0.0046,0.1415 +/- 0.0184,0.1118 +/- 0.0046
MNAR,0.2,0.0928 +/- 0.011,0.1478 +/- 0.0093,0.1039 +/- 0.0099,0.1075 +/- 0.0098,0.1279 +/- 0.0093,0.1342 +/- 0.0107
MNAR,0.3,0.0903 +/- 0.004,0.1389 +/- 0.0062,0.0985 +/- 0.008,0.0992 +/- 0.0046,0.1459 +/- 0.0182,0.125 +/- 0.0049
MNAR,0.4,0.0888 +/- 0.0058,0.1316 +/- 0.0041,0.0959 +/- 0.0044,0.0965 +/- 0.0037,0.1476 +/- 0.0204,0.123 +/- 0.0072
MNAR,0.5,0.093 +/- 0.0039,0.1296 +/- 0.0038,0.0993 +/- 0.0048,0.0971 +/- 0.0049,0.2354 +/- 0.0261,0.1275 +/- 0.007
