Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0008 +/- 0.0002,0.0593 +/- 0.0074,0.0015 +/- 0.0003,0.0211 +/- 0.002,0.0454 +/- 0.011,0.0107 +/- 0.0017
MAR,0.2,0.0026 +/- 0.0015,0.1316 +/- 0.0173,0.0062 +/- 0.0028,0.0533 +/- 0.0136,0.0693 +/- 0.0122,0.0351 +/- 0.0128
MAR,0.3,0.0045 +/- 0.0018,0.1949 +/- 0.0274,0.0071 +/- 0.0032,0.0703 +/- 0.0146,0.0943 +/- 0.0231,0.0512 +/- 0.0198
MAR,0.4,0.0054 +/- 0.0016,0.2394 +/- 0.0256,0.0076 +/- 0.0024,0.0933 +/- 0.009,0.1312 +/- 0.016,0.0607 +/- 0.0099
MAR,0.5,0.0112 +/- 0.0055,0.3015 +/- 0.0236,0.0121 +/- 0.0032,0.1173 +/- 0.0217,0.1626 +/- 0.0218,0.0912 +/- 0.024
MCAR,0.1,0.0037 +/- 0.0003,0.1222 +/- 0.0041,0.0056 +/- 0.0009,0.0395 +/- 0.0035,0.0694 +/- 0.0097,0.0223 +/- 0.0026
MCAR,0.2,0.0107 +/- 0.0034,0.2356 +/- 0.0075,0.013 +/- 0.0009,0.08 +/- 0.0039,0.1297 +/- 0.0055,0.0453 +/- 0.0023
MCAR,0.3,0.0243 +/- 0.0067,0.3609 +/- 0.0118,0.0274 +/- 0.0031,0.1316 +/- 0.0069,0.1997 +/- 0.0053,0.0806 +/- 0.0066
MCAR,0.4,0.0275 +/- 0.0072,0.4823 +/- 0.0182,0.0319 +/- 0.0033,0.1504 +/- 0.0029,0.2731 +/- 0.0259,0.1025 +/- 0.0055
MCAR,0.5,0.0566 +/- 0.0237,0.5849 +/- 0.0209,0.0494 +/- 0.0052,0.1988 +/- 0.0085,0.3689 +/- 0.047,0.1402 +/- 0.012
MNAR,0.1,0.0047 +/- 0.0009,0.1228 +/- 0.0046,0.0062 +/- 0.0006,0.0434 +/- 0.0017,0.0839 +/- 0.0124,0.0247 +/- 0.0012
MNAR,0.2,0.0106 +/- 0.0045,0.2447 +/- 0.0053,0.0153 +/- 0.0014,0.0918 +/- 0.0025,0.1665 +/- 0.0197,0.0563 +/- 0.0046
MNAR,0.3,0.0235 +/- 0.0071,0.3686 +/- 0.0083,0.0258 +/- 0.0012,0.1252 +/- 0.0113,0.2191 +/- 0.0151,0.0831 +/- 0.0098
MNAR,0.4,0.0241 +/- 0.0086,0.473 +/- 0.0268,0.0333 +/- 0.0013,0.1543 +/- 0.0126,0.3655 +/- 0.0493,0.104 +/- 0.0077
MNAR,0.5,0.0559 +/- 0.0192,0.6201 +/- 0.031,0.0541 +/- 0.0075,0.2098 +/- 0.0149,0.6676 +/- 0.0979,0.1758 +/- 0.0305
