Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0102 +/- 0.0021,0.0478 +/- 0.0041,0.0122 +/- 0.0015,0.0233 +/- 0.0029,0.0313 +/- 0.0073,0.012 +/- 0.0012
MAR,0.2,0.0193 +/- 0.0068,0.0814 +/- 0.0147,0.0183 +/- 0.0048,0.0361 +/- 0.0105,0.0536 +/- 0.0199,0.0262 +/- 0.0036
MAR,0.3,0.0323 +/- 0.0075,0.1344 +/- 0.0137,0.0338 +/- 0.0032,0.0657 +/- 0.0139,0.0938 +/- 0.018,0.0424 +/- 0.0105
MAR,0.4,0.0347 +/- 0.0083,0.1554 +/- 0.0312,0.0643 +/- 0.0165,0.0661 +/- 0.0158,0.1039 +/- 0.0442,0.0512 +/- 0.0104
MAR,0.5,0.0362 +/- 0.0112,0.1787 +/- 0.0221,0.0696 +/- 0.0194,0.0675 +/- 0.0138,0.1365 +/- 0.03,0.0456 +/- 0.0088
MCAR,0.1,0.0135 +/- 0.002,0.066 +/- 0.0054,0.0202 +/- 0.0039,0.0289 +/- 0.0045,0.044 +/- 0.0057,0.0168 +/- 0.002
MCAR,0.2,0.0313 +/- 0.0035,0.1421 +/- 0.0081,0.0304 +/- 0.0039,0.0649 +/- 0.0051,0.0793 +/- 0.0079,0.0336 +/- 0.0048
MCAR,0.3,0.0481 +/- 0.0026,0.215 +/- 0.0067,0.0596 +/- 0.0195,0.098 +/- 0.0036,0.1242 +/- 0.0128,0.0464 +/- 0.005
MCAR,0.4,0.069 +/- 0.008,0.276 +/- 0.0137,0.1178 +/- 0.0148,0.1183 +/- 0.0128,0.1671 +/- 0.0213,0.0661 +/- 0.0041
MCAR,0.5,0.0987 +/- 0.0099,0.3475 +/- 0.0252,0.1529 +/- 0.0083,0.1442 +/- 0.0064,0.2302 +/- 0.0287,0.0748 +/- 0.0053
MNAR,0.1,0.0144 +/- 0.0014,0.0722 +/- 0.0032,0.0225 +/- 0.0093,0.0304 +/- 0.0026,0.0517 +/- 0.0111,0.0191 +/- 0.0006
MNAR,0.2,0.0375 +/- 0.0043,0.1523 +/- 0.0067,0.0376 +/- 0.0103,0.068 +/- 0.0045,0.0903 +/- 0.01,0.045 +/- 0.0077
MNAR,0.3,0.0539 +/- 0.0061,0.2249 +/- 0.0154,0.0445 +/- 0.0054,0.0976 +/- 0.0092,0.1595 +/- 0.0321,0.0557 +/- 0.0051
MNAR,0.4,0.072 +/- 0.0095,0.2775 +/- 0.0046,0.1056 +/- 0.0069,0.1092 +/- 0.0063,0.2298 +/- 0.0494,0.0627 +/- 0.0084
MNAR,0.5,0.0932 +/- 0.0087,0.341 +/- 0.0175,0.1451 +/- 0.0137,0.1329 +/- 0.0138,0.5559 +/- 0.0801,0.1032 +/- 0.0101
