Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0886 +/- 0.0144,0.1856 +/- 0.0198,0.1132 +/- 0.007,0.1253 +/- 0.0173,0.1496 +/- 0.0224,0.1293 +/- 0.0174
MAR,0.2,0.0894 +/- 0.0195,0.1541 +/- 0.0223,0.098 +/- 0.0209,0.1089 +/- 0.0167,0.1386 +/- 0.0369,0.124 +/- 0.0235
MAR,0.3,0.1014 +/- 0.0084,0.1587 +/- 0.0135,0.1116 +/- 0.0075,0.1188 +/- 0.0135,0.1413 +/- 0.0116,0.138 +/- 0.0163
MAR,0.4,0.0958 +/- 0.0113,0.1464 +/- 0.0164,0.1052 +/- 0.0105,0.1066 +/- 0.0111,0.1266 +/- 0.0244,0.1324 +/- 0.0172
MAR,0.5,0.0813 +/- 0.0113,0.1367 +/- 0.0126,0.0929 +/- 0.0141,0.0929 +/- 0.0093,0.1284 +/- 0.0128,0.1116 +/- 0.0156
MCAR,0.1,0.069 +/- 0.0093,0.1205 +/- 0.0085,0.0807 +/- 0.0041,0.0856 +/- 0.0095,0.1212 +/- 0.0199,0.1157 +/- 0.0071
MCAR,0.2,0.0838 +/- 0.0053,0.1304 +/- 0.007,0.0911 +/- 0.0044,0.0963 +/- 0.0049,0.1153 +/- 0.0077,0.1272 +/- 0.0077
MCAR,0.3,0.09 +/- 0.0032,0.1304 +/- 0.005,0.0992 +/- 0.0038,0.0988 +/- 0.0042,0.1228 +/- 0.0067,0.1284 +/- 0.0022
MCAR,0.4,0.0921 +/- 0.0044,0.1311 +/- 0.0039,0.0993 +/- 0.0049,0.0987 +/- 0.004,0.1274 +/- 0.0127,0.1278 +/- 0.0056
MCAR,0.5,0.0976 +/- 0.007,0.1276 +/- 0.0059,0.1015 +/- 0.0047,0.0986 +/- 0.0058,0.1269 +/- 0.0098,0.1275 +/- 0.0052
MNAR,0.1,0.0765 +/- 0.0045,0.1422 +/- 0.0028,0.0918 +/- 0.0094,0.0941 +/- 0.0046,0.1415 +/- 0.0184,0.1118 +/- 0.0046
MNAR,0.2,0.0967 +/- 0.0103,0.1478 +/- 0.0093,0.1013 +/- 0.0097,0.1075 +/- 0.0098,0.1279 +/- 0.0093,0.1342 +/- 0.0107
MNAR,0.3,0.0916 +/- 0.0062,0.1389 +/- 0.0062,0.0983 +/- 0.0041,0.0992 +/- 0.0046,0.146 +/- 0.0182,0.125 +/- 0.0049
MNAR,0.4,0.0948 +/- 0.0069,0.1316 +/- 0.0041,0.0959 +/- 0.0044,0.0965 +/- 0.0037,0.1472 +/- 0.0203,0.123 +/- 0.0072
MNAR,0.5,0.0985 +/- 0.0032,0.1296 +/- 0.0038,0.0993 +/- 0.0048,0.0971 +/- 0.0049,0.2354 +/- 0.0262,0.1275 +/- 0.007
