Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0124 +/- 0.0046,0.0625 +/- 0.0148,0.0215 +/- 0.0077,0.0211 +/- 0.0068,0.0308 +/- 0.0087,0.0159 +/- 0.0098
MAR,0.2,0.0138 +/- 0.0022,0.0801 +/- 0.0106,0.0242 +/- 0.0033,0.0275 +/- 0.0033,0.0405 +/- 0.0066,0.0164 +/- 0.0044
MAR,0.3,0.0266 +/- 0.0087,0.1408 +/- 0.0179,0.0431 +/- 0.0079,0.0428 +/- 0.0072,0.0707 +/- 0.0143,0.034 +/- 0.0089
MAR,0.4,0.0392 +/- 0.014,0.1965 +/- 0.0199,0.0645 +/- 0.0138,0.0604 +/- 0.0079,0.1099 +/- 0.0065,0.0456 +/- 0.0148
MAR,0.5,0.0652 +/- 0.02,0.2548 +/- 0.0158,0.0837 +/- 0.0088,0.0846 +/- 0.0106,0.1544 +/- 0.0367,0.076 +/- 0.0127
MCAR,0.1,0.017 +/- 0.0032,0.094 +/- 0.0142,0.0316 +/- 0.0049,0.0309 +/- 0.005,0.0462 +/- 0.0054,0.0213 +/- 0.0028
MCAR,0.2,0.0298 +/- 0.0036,0.1525 +/- 0.0058,0.0467 +/- 0.0043,0.0482 +/- 0.0046,0.0762 +/- 0.0048,0.0325 +/- 0.0031
MCAR,0.3,0.0597 +/- 0.0079,0.242 +/- 0.0104,0.0852 +/- 0.0103,0.0828 +/- 0.0102,0.1281 +/- 0.0082,0.064 +/- 0.0037
MCAR,0.4,0.0727 +/- 0.0106,0.2971 +/- 0.0084,0.103 +/- 0.0154,0.0961 +/- 0.0123,0.1629 +/- 0.0192,0.0748 +/- 0.0083
MCAR,0.5,0.1206 +/- 0.0187,0.3801 +/- 0.0135,0.1271 +/- 0.0131,0.1279 +/- 0.013,0.2315 +/- 0.0441,0.1101 +/- 0.0091
MNAR,0.1,0.022 +/- 0.0075,0.1138 +/- 0.0034,0.0341 +/- 0.0067,0.0322 +/- 0.0063,0.0515 +/- 0.0071,0.0268 +/- 0.0062
MNAR,0.2,0.0397 +/- 0.0149,0.2033 +/- 0.0099,0.0587 +/- 0.0118,0.0582 +/- 0.011,0.1084 +/- 0.0092,0.0483 +/- 0.0091
MNAR,0.3,0.0849 +/- 0.0117,0.3224 +/- 0.0184,0.1039 +/- 0.0113,0.0968 +/- 0.0071,0.2014 +/- 0.0141,0.1256 +/- 0.0237
MNAR,0.4,0.1627 +/- 0.0346,0.4241 +/- 0.0192,0.1517 +/- 0.0094,0.1353 +/- 0.0036,0.3851 +/- 0.1074,0.2119 +/- 0.0351
MNAR,0.5,0.2605 +/- 0.0417,0.5172 +/- 0.0214,0.2011 +/- 0.0224,0.1812 +/- 0.014,0.526 +/- 0.1059,0.3203 +/- 0.0657
