Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0794 +/- 0.0198,0.2232 +/- 0.0518,0.0999 +/- 0.0342,0.098 +/- 0.0307,0.137 +/- 0.0432,0.0908 +/- 0.0412
MAR,0.2,0.0639 +/- 0.0145,0.1739 +/- 0.0199,0.0728 +/- 0.0128,0.0768 +/- 0.012,0.1076 +/- 0.0206,0.0753 +/- 0.0251
MAR,0.3,0.0812 +/- 0.0248,0.2128 +/- 0.0197,0.0984 +/- 0.0257,0.0923 +/- 0.0161,0.1368 +/- 0.0234,0.0943 +/- 0.0204
MAR,0.4,0.0916 +/- 0.0244,0.2062 +/- 0.0219,0.0982 +/- 0.0229,0.0985 +/- 0.0225,0.1404 +/- 0.0163,0.0974 +/- 0.0255
MAR,0.5,0.1222 +/- 0.0198,0.2195 +/- 0.0085,0.1244 +/- 0.0141,0.1242 +/- 0.0125,0.1631 +/- 0.0197,0.1267 +/- 0.0135
MCAR,0.1,0.0801 +/- 0.0115,0.2116 +/- 0.0106,0.0998 +/- 0.0111,0.0985 +/- 0.012,0.134 +/- 0.0067,0.0958 +/- 0.0117
MCAR,0.2,0.087 +/- 0.0072,0.1952 +/- 0.0061,0.0968 +/- 0.0065,0.0963 +/- 0.006,0.1293 +/- 0.0043,0.0945 +/- 0.0092
MCAR,0.3,0.1003 +/- 0.0054,0.1977 +/- 0.0076,0.1129 +/- 0.0104,0.1071 +/- 0.0099,0.1475 +/- 0.0127,0.1176 +/- 0.0119
MCAR,0.4,0.1135 +/- 0.0099,0.1885 +/- 0.0032,0.1171 +/- 0.0115,0.1203 +/- 0.0147,0.1411 +/- 0.0062,0.1307 +/- 0.0063
MCAR,0.5,0.1502 +/- 0.0095,0.1962 +/- 0.0065,0.1401 +/- 0.0084,0.1403 +/- 0.0166,0.1568 +/- 0.0164,0.1605 +/- 0.0065
MNAR,0.1,0.1097 +/- 0.0337,0.275 +/- 0.0134,0.131 +/- 0.0304,0.1247 +/- 0.0311,0.1766 +/- 0.0313,0.1048 +/- 0.0242
MNAR,0.2,0.1005 +/- 0.0333,0.2535 +/- 0.0085,0.1122 +/- 0.0275,0.1149 +/- 0.0224,0.1682 +/- 0.0207,0.1029 +/- 0.022
MNAR,0.3,0.1303 +/- 0.0183,0.2639 +/- 0.0049,0.1426 +/- 0.0142,0.1336 +/- 0.0157,0.1902 +/- 0.0087,0.1586 +/- 0.0186
MNAR,0.4,0.1677 +/- 0.0138,0.2591 +/- 0.0088,0.1582 +/- 0.0062,0.1539 +/- 0.0039,0.2692 +/- 0.0631,0.1957 +/- 0.0133
MNAR,0.5,0.1905 +/- 0.0129,0.2613 +/- 0.0056,0.1709 +/- 0.0014,0.1666 +/- 0.0064,0.2993 +/- 0.0485,0.2234 +/- 0.0217
