Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0072 +/- 0.0036,0.0842 +/- 0.0204,0.021 +/- 0.0063,0.0298 +/- 0.0079,0.0333 +/- 0.0064,0.0237 +/- 0.0031
MAR,0.2,0.0124 +/- 0.0028,0.1133 +/- 0.0309,0.0428 +/- 0.0066,0.0481 +/- 0.0052,0.047 +/- 0.0062,0.0329 +/- 0.0045
MAR,0.3,0.0193 +/- 0.0059,0.1928 +/- 0.0228,0.0556 +/- 0.0131,0.0749 +/- 0.0122,0.0784 +/- 0.0152,0.0542 +/- 0.0117
MAR,0.4,0.0317 +/- 0.0174,0.2498 +/- 0.0281,0.087 +/- 0.013,0.0992 +/- 0.0175,0.1144 +/- 0.0245,0.0841 +/- 0.0171
MAR,0.5,0.0482 +/- 0.0265,0.3241 +/- 0.0688,0.1151 +/- 0.0221,0.137 +/- 0.0224,0.161 +/- 0.0164,0.1141 +/- 0.0205
MCAR,0.1,0.0171 +/- 0.0048,0.1352 +/- 0.0136,0.0484 +/- 0.0098,0.0534 +/- 0.0086,0.0582 +/- 0.0042,0.039 +/- 0.0046
MCAR,0.2,0.0322 +/- 0.0065,0.2847 +/- 0.0174,0.086 +/- 0.0107,0.1053 +/- 0.0048,0.1134 +/- 0.0049,0.0719 +/- 0.0066
MCAR,0.3,0.0456 +/- 0.0112,0.3641 +/- 0.031,0.1236 +/- 0.0193,0.1346 +/- 0.0117,0.1516 +/- 0.0112,0.1005 +/- 0.0088
MCAR,0.4,0.0682 +/- 0.0135,0.5564 +/- 0.0378,0.1738 +/- 0.0218,0.1994 +/- 0.0218,0.2231 +/- 0.0254,0.1509 +/- 0.0171
MCAR,0.5,0.1218 +/- 0.0132,0.7193 +/- 0.0261,0.2403 +/- 0.0203,0.2525 +/- 0.0257,0.3143 +/- 0.0431,0.2053 +/- 0.015
MNAR,0.1,0.0189 +/- 0.0034,0.1317 +/- 0.0125,0.0526 +/- 0.0041,0.0585 +/- 0.0033,0.066 +/- 0.0064,0.0389 +/- 0.0031
MNAR,0.2,0.0334 +/- 0.0063,0.247 +/- 0.0215,0.0856 +/- 0.0123,0.1052 +/- 0.0061,0.114 +/- 0.0065,0.0736 +/- 0.0053
MNAR,0.3,0.0524 +/- 0.0156,0.4193 +/- 0.022,0.1506 +/- 0.0233,0.1685 +/- 0.021,0.2005 +/- 0.0402,0.1224 +/- 0.0218
MNAR,0.4,0.0899 +/- 0.0242,0.5116 +/- 0.0302,0.205 +/- 0.0252,0.2067 +/- 0.0208,0.2956 +/- 0.0547,0.1589 +/- 0.0197
MNAR,0.5,0.1247 +/- 0.0136,0.7028 +/- 0.0624,0.2644 +/- 0.0244,0.2782 +/- 0.0179,0.4251 +/- 0.0475,0.2405 +/- 0.0206
