Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0072,0.0842,0.021,0.0298,0.0333,0.0237
MAR,0.2,0.0124,0.1133,0.0428,0.0481,0.047,0.0329
MAR,0.3,0.0193,0.1928,0.0556,0.0749,0.0784,0.0542
MAR,0.4,0.0317,0.2498,0.087,0.0992,0.1144,0.0841
MAR,0.5,0.0482,0.3241,0.1151,0.137,0.161,0.1141
MCAR,0.1,0.0171,0.1352,0.0484,0.0534,0.0582,0.039
MCAR,0.2,0.0322,0.2847,0.086,0.1053,0.1134,0.0719
MCAR,0.3,0.0456,0.3641,0.1236,0.1346,0.1516,0.1005
MCAR,0.4,0.0682,0.5564,0.1738,0.1994,0.2231,0.1509
MCAR,0.5,0.1218,0.7193,0.2403,0.2525,0.3143,0.2053
MNAR,0.1,0.0189,0.1317,0.0526,0.0585,0.066,0.0389
MNAR,0.2,0.0334,0.247,0.0856,0.1052,0.114,0.0736
MNAR,0.3,0.0524,0.4193,0.1506,0.1685,0.2005,0.1224
MNAR,0.4,0.0899,0.5116,0.205,0.2067,0.2956,0.1589
MNAR,0.5,0.1247,0.7028,0.2644,0.2782,0.4251,0.2405
