Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0254 +/- 0.0102,0.2421 +/- 0.0264,0.0462 +/- 0.0247,0.1036 +/- 0.0278,0.1614 +/- 0.0399,0.1235 +/- 0.0474
MAR,0.2,0.0335 +/- 0.0076,0.2412 +/- 0.0348,0.0475 +/- 0.0148,0.1198 +/- 0.0224,0.1499 +/- 0.0374,0.1259 +/- 0.0398
MAR,0.3,0.0266 +/- 0.0083,0.2286 +/- 0.0192,0.0901 +/- 0.026,0.1147 +/- 0.0201,0.154 +/- 0.0311,0.1186 +/- 0.034
MAR,0.4,0.0335 +/- 0.0134,0.2246 +/- 0.0272,0.0891 +/- 0.0342,0.1071 +/- 0.0197,0.1278 +/- 0.0289,0.1087 +/- 0.0393
MAR,0.5,0.0544 +/- 0.0065,0.2297 +/- 0.0137,0.1049 +/- 0.0231,0.1275 +/- 0.0145,0.1663 +/- 0.0213,0.1511 +/- 0.0188
MCAR,0.1,0.0196 +/- 0.0049,0.2078 +/- 0.0123,0.0286 +/- 0.0173,0.0946 +/- 0.0125,0.1211 +/- 0.0248,0.0894 +/- 0.0283
MCAR,0.2,0.0318 +/- 0.0084,0.2108 +/- 0.0051,0.052 +/- 0.014,0.1059 +/- 0.0104,0.1469 +/- 0.0174,0.1156 +/- 0.0224
MCAR,0.3,0.042 +/- 0.0052,0.2167 +/- 0.011,0.1072 +/- 0.0056,0.1135 +/- 0.0082,0.1527 +/- 0.0143,0.1295 +/- 0.0132
MCAR,0.4,0.057 +/- 0.0188,0.2154 +/- 0.0079,0.1061 +/- 0.0071,0.1163 +/- 0.0072,0.1506 +/- 0.0138,0.1312 +/- 0.0099
MCAR,0.5,0.0636 +/- 0.0162,0.2148 +/- 0.0075,0.1082 +/- 0.0146,0.1156 +/- 0.0125,0.1571 +/- 0.0244,0.1283 +/- 0.0257
MNAR,0.1,0.018 +/- 0.0115,0.5171 +/- 0.0377,0.1322 +/- 0.1626,0.2855 +/- 0.0963,0.512 +/- 0.2262,0.4714 +/- 0.2338
MNAR,0.2,0.0267 +/- 0.0214,0.4077 +/- 0.0644,0.085 +/- 0.0908,0.1871 +/- 0.0352,0.2369 +/- 0.0914,0.159 +/- 0.0936
MNAR,0.3,0.0169 +/- 0.0086,0.4556 +/- 0.0578,0.1138 +/- 0.0758,0.2209 +/- 0.0571,0.3114 +/- 0.1065,0.2111 +/- 0.1054
MNAR,0.4,0.0356 +/- 0.0148,0.3892 +/- 0.035,0.0749 +/- 0.0758,0.2017 +/- 0.0257,0.3596 +/- 0.1302,0.1681 +/- 0.0376
MNAR,0.5,0.0287 +/- 0.0146,0.4542 +/- 0.043,0.074 +/- 0.0637,0.1929 +/- 0.0215,0.2388 +/- 0.0735,0.1375 +/- 0.0589
