Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0097 +/- 0.003,0.0736 +/- 0.0235,0.0257 +/- 0.0072,0.0312 +/- 0.0062,0.0353 +/- 0.0146,0.0147 +/- 0.0037
MAR,0.2,0.015 +/- 0.004,0.1301 +/- 0.0182,0.0422 +/- 0.0172,0.0565 +/- 0.015,0.0588 +/- 0.0199,0.0261 +/- 0.0063
MAR,0.3,0.031 +/- 0.0163,0.2363 +/- 0.0841,0.0632 +/- 0.0223,0.0835 +/- 0.0164,0.1002 +/- 0.0496,0.047 +/- 0.0166
MAR,0.4,0.0486 +/- 0.0069,0.3061 +/- 0.0729,0.1017 +/- 0.0255,0.1172 +/- 0.015,0.1198 +/- 0.048,0.0719 +/- 0.0084
MAR,0.5,0.0535 +/- 0.0089,0.2989 +/- 0.0298,0.0963 +/- 0.0227,0.1251 +/- 0.0184,0.1153 +/- 0.0283,0.0837 +/- 0.0142
MCAR,0.1,0.0172 +/- 0.0005,0.1473 +/- 0.0187,0.0438 +/- 0.0066,0.0517 +/- 0.0038,0.0571 +/- 0.0116,0.0265 +/- 0.0012
MCAR,0.2,0.0314 +/- 0.0089,0.2629 +/- 0.0264,0.0699 +/- 0.0155,0.0961 +/- 0.0154,0.0933 +/- 0.0216,0.0478 +/- 0.0089
MCAR,0.3,0.0499 +/- 0.0049,0.3937 +/- 0.0336,0.104 +/- 0.0209,0.1486 +/- 0.017,0.145 +/- 0.0207,0.0731 +/- 0.0069
MCAR,0.4,0.0691 +/- 0.0107,0.5641 +/- 0.0777,0.1391 +/- 0.0118,0.1814 +/- 0.0046,0.2015 +/- 0.045,0.0979 +/- 0.0105
MCAR,0.5,0.1181 +/- 0.0169,0.7812 +/- 0.0587,0.2379 +/- 0.024,0.2879 +/- 0.0127,0.3428 +/- 0.019,0.1583 +/- 0.0076
MNAR,0.1,0.0013 +/- 0.0008,0.0103 +/- 0.0068,0.0054 +/- 0.0047,0.0057 +/- 0.0048,0.0059 +/- 0.0048,0.0029 +/- 0.0018
MNAR,0.2,0.0041 +/- 0.0026,0.042 +/- 0.0356,0.0137 +/- 0.0071,0.0139 +/- 0.0069,0.0238 +/- 0.0156,0.0068 +/- 0.0032
MNAR,0.3,0.0084 +/- 0.0061,0.0837 +/- 0.0625,0.0176 +/- 0.0084,0.0177 +/- 0.0084,0.0428 +/- 0.0297,0.0086 +/- 0.0047
MNAR,0.4,0.0089 +/- 0.0042,0.0309 +/- 0.0147,0.0208 +/- 0.01,0.0216 +/- 0.0099,0.0242 +/- 0.0104,0.013 +/- 0.0061
MNAR,0.5,0.0177 +/- 0.0161,0.1271 +/- 0.1147,0.0253 +/- 0.0184,0.0259 +/- 0.0183,0.0614 +/- 0.0541,0.0165 +/- 0.0111
