Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0955 +/- 0.0098,0.2417 +/- 0.0109,0.1169 +/- 0.0191,0.1292 +/- 0.0177,0.1597 +/- 0.0144,0.1148 +/- 0.0159
MAR,0.2,0.1023 +/- 0.0196,0.2566 +/- 0.0291,0.1176 +/- 0.0178,0.1357 +/- 0.0228,0.1593 +/- 0.022,0.1209 +/- 0.0185
MAR,0.3,0.1048 +/- 0.0355,0.2345 +/- 0.0209,0.1197 +/- 0.0332,0.1454 +/- 0.0285,0.164 +/- 0.0424,0.1383 +/- 0.034
MAR,0.4,0.1122 +/- 0.0157,0.2595 +/- 0.0151,0.1265 +/- 0.0069,0.1408 +/- 0.0121,0.1598 +/- 0.0224,0.139 +/- 0.0165
MAR,0.5,0.1431 +/- 0.0299,0.2207 +/- 0.0115,0.1609 +/- 0.0165,0.1688 +/- 0.0143,0.1743 +/- 0.0248,0.1635 +/- 0.013
MCAR,0.1,0.1243 +/- 0.0371,0.2403 +/- 0.0092,0.1408 +/- 0.0476,0.1564 +/- 0.0383,0.1531 +/- 0.0254,0.1314 +/- 0.0236
MCAR,0.2,0.1041 +/- 0.0062,0.2412 +/- 0.014,0.1141 +/- 0.012,0.1282 +/- 0.0088,0.1445 +/- 0.0132,0.1251 +/- 0.0008
MCAR,0.3,0.1155 +/- 0.021,0.2427 +/- 0.0037,0.1395 +/- 0.0168,0.1536 +/- 0.017,0.1562 +/- 0.0227,0.1476 +/- 0.0168
MCAR,0.4,0.1333 +/- 0.0034,0.248 +/- 0.0147,0.1541 +/- 0.0115,0.1601 +/- 0.0073,0.1831 +/- 0.0072,0.1514 +/- 0.0064
MCAR,0.5,0.1453 +/- 0.0149,0.2488 +/- 0.0098,0.1654 +/- 0.0096,0.1721 +/- 0.0127,0.2251 +/- 0.0202,0.1649 +/- 0.0134
MNAR,0.1,0.0995 +/- 0.0257,0.2476 +/- 0.0235,0.1198 +/- 0.0456,0.1423 +/- 0.0398,0.1589 +/- 0.0352,0.1372 +/- 0.0313
MNAR,0.2,0.0949 +/- 0.0122,0.2232 +/- 0.009,0.1166 +/- 0.0175,0.1315 +/- 0.0106,0.1488 +/- 0.0088,0.1264 +/- 0.0148
MNAR,0.3,0.1332 +/- 0.0272,0.2572 +/- 0.014,0.1476 +/- 0.0302,0.1726 +/- 0.0178,0.1783 +/- 0.0179,0.1585 +/- 0.0187
MNAR,0.4,0.1404 +/- 0.0153,0.2454 +/- 0.0122,0.1679 +/- 0.0326,0.1605 +/- 0.0149,0.2351 +/- 0.0393,0.1574 +/- 0.0149
MNAR,0.5,0.1503 +/- 0.0116,0.2432 +/- 0.0102,0.1616 +/- 0.0118,0.1696 +/- 0.0092,0.2893 +/- 0.0505,0.1642 +/- 0.0097
