Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0049 +/- 0.0013,0.0527 +/- 0.0053,0.0059 +/- 0.003,0.0201 +/- 0.0017,0.0266 +/- 0.0051,0.0068 +/- 0.0013
MAR,0.2,0.0101 +/- 0.002,0.1162 +/- 0.0193,0.0107 +/- 0.0047,0.0413 +/- 0.0054,0.0443 +/- 0.0039,0.0154 +/- 0.0023
MAR,0.3,0.0165 +/- 0.0026,0.1749 +/- 0.0269,0.019 +/- 0.0046,0.0627 +/- 0.0074,0.0756 +/- 0.0122,0.0251 +/- 0.0039
MAR,0.4,0.0232 +/- 0.0041,0.2434 +/- 0.0329,0.0177 +/- 0.0025,0.0835 +/- 0.0095,0.1006 +/- 0.0109,0.0429 +/- 0.0078
MAR,0.5,0.0297 +/- 0.003,0.257 +/- 0.0449,0.0244 +/- 0.0025,0.0919 +/- 0.0095,0.1089 +/- 0.0265,0.0472 +/- 0.0037
MCAR,0.1,0.0101 +/- 0.0013,0.0979 +/- 0.008,0.0105 +/- 0.0011,0.0388 +/- 0.0029,0.0444 +/- 0.0044,0.0123 +/- 0.0008
MCAR,0.2,0.023 +/- 0.0029,0.1771 +/- 0.0187,0.0202 +/- 0.0033,0.0711 +/- 0.0022,0.0813 +/- 0.0071,0.0234 +/- 0.001
MCAR,0.3,0.0346 +/- 0.0046,0.3115 +/- 0.0079,0.0304 +/- 0.0023,0.1099 +/- 0.006,0.1224 +/- 0.0127,0.0407 +/- 0.0018
MCAR,0.4,0.0416 +/- 0.0059,0.3852 +/- 0.0268,0.0364 +/- 0.0023,0.1319 +/- 0.0129,0.1484 +/- 0.0165,0.0566 +/- 0.0064
MCAR,0.5,0.0749 +/- 0.0096,0.5287 +/- 0.0745,0.0545 +/- 0.0055,0.1846 +/- 0.0142,0.2794 +/- 0.0295,0.0994 +/- 0.0102
MNAR,0.1,0.0001 +/- 0.0001,0.0036 +/- 0.0034,0.0002 +/- 0.0001,0.0012 +/- 0.0009,0.0021 +/- 0.0016,0.0004 +/- 0.0001
MNAR,0.2,0.0004 +/- 0.0005,0.0144 +/- 0.0107,0.0013 +/- 0.0007,0.0057 +/- 0.0042,0.0105 +/- 0.0087,0.0024 +/- 0.0018
MNAR,0.3,0.001 +/- 0.0012,0.0211 +/- 0.0167,0.0005 +/- 0.0003,0.0067 +/- 0.0052,0.0106 +/- 0.0092,0.0029 +/- 0.0031
MNAR,0.4,0.0019 +/- 0.0023,0.0353 +/- 0.018,0.0049 +/- 0.0069,0.0134 +/- 0.0088,0.019 +/- 0.0135,0.0048 +/- 0.0041
MNAR,0.5,0.0005 +/- 0.0002,0.0189 +/- 0.0177,0.0006 +/- 0.0004,0.0055 +/- 0.0067,0.007 +/- 0.0089,0.0019 +/- 0.001
