Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0483 +/- 0.0092,0.1771 +/- 0.0144,0.0568 +/- 0.0122,0.0913 +/- 0.0103,0.1268 +/- 0.011,0.0726 +/- 0.0145
MAR,0.2,0.0531 +/- 0.008,0.1965 +/- 0.0268,0.0587 +/- 0.0097,0.1002 +/- 0.0104,0.1246 +/- 0.0101,0.0778 +/- 0.0123
MAR,0.3,0.0572 +/- 0.0063,0.1948 +/- 0.0271,0.0669 +/- 0.0073,0.1029 +/- 0.0079,0.1309 +/- 0.009,0.0816 +/- 0.008
MAR,0.4,0.0623 +/- 0.0082,0.2107 +/- 0.0175,0.0618 +/- 0.0028,0.1023 +/- 0.0065,0.1374 +/- 0.0217,0.098 +/- 0.0157
MAR,0.5,0.0638 +/- 0.0048,0.1795 +/- 0.0249,0.0686 +/- 0.0062,0.0965 +/- 0.0056,0.1296 +/- 0.0086,0.087 +/- 0.0067
MCAR,0.1,0.0521 +/- 0.0029,0.1737 +/- 0.0102,0.0607 +/- 0.0029,0.0947 +/- 0.0058,0.1177 +/- 0.0056,0.0788 +/- 0.0047
MCAR,0.2,0.0587 +/- 0.0034,0.1569 +/- 0.0162,0.065 +/- 0.0048,0.095 +/- 0.0016,0.1155 +/- 0.0024,0.0828 +/- 0.0023
MCAR,0.3,0.0636 +/- 0.0019,0.1834 +/- 0.004,0.0667 +/- 0.0027,0.0969 +/- 0.0035,0.1191 +/- 0.0021,0.091 +/- 0.0026
MCAR,0.4,0.0638 +/- 0.0033,0.1746 +/- 0.0101,0.0673 +/- 0.0032,0.0938 +/- 0.0054,0.1174 +/- 0.0079,0.0898 +/- 0.008
MCAR,0.5,0.0792 +/- 0.0049,0.1821 +/- 0.0219,0.0798 +/- 0.0043,0.1069 +/- 0.0046,0.1544 +/- 0.0123,0.112 +/- 0.0098
MNAR,0.1,0.1434 +/- 0.1727,0.3855 +/- 0.1696,0.1659 +/- 0.2268,0.2383 +/- 0.2276,0.2921 +/- 0.2298,0.1842 +/- 0.2113
MNAR,0.2,0.053 +/- 0.0319,0.3135 +/- 0.0844,0.0851 +/- 0.0242,0.1449 +/- 0.0206,0.2041 +/- 0.0516,0.1251 +/- 0.0309
MNAR,0.3,0.1557 +/- 0.1085,0.497 +/- 0.074,0.1391 +/- 0.1071,0.286 +/- 0.1412,0.3455 +/- 0.1449,0.2189 +/- 0.1445
MNAR,0.4,0.1149 +/- 0.1118,0.3814 +/- 0.0625,0.1474 +/- 0.1197,0.2182 +/- 0.1171,0.2588 +/- 0.0918,0.1676 +/- 0.1238
MNAR,0.5,0.1452 +/- 0.1163,0.4522 +/- 0.1707,0.2529 +/- 0.189,0.4074 +/- 0.2015,0.4595 +/- 0.2274,0.3786 +/- 0.2687
