Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0179 +/- 0.0047,0.0617 +/- 0.0145,0.0242 +/- 0.0037,0.025 +/- 0.0034,0.0315 +/- 0.0106,0.0204 +/- 0.0063
MAR,0.2,0.0306 +/- 0.0087,0.1065 +/- 0.0176,0.0465 +/- 0.0126,0.0468 +/- 0.0112,0.0515 +/- 0.0136,0.0431 +/- 0.0076
MAR,0.3,0.0572 +/- 0.0136,0.169 +/- 0.0427,0.0862 +/- 0.0216,0.0857 +/- 0.0202,0.107 +/- 0.0277,0.0691 +/- 0.0193
MAR,0.4,0.08 +/- 0.0104,0.2371 +/- 0.0417,0.1211 +/- 0.0147,0.1214 +/- 0.0152,0.1298 +/- 0.0367,0.1051 +/- 0.0168
MAR,0.5,0.0789 +/- 0.0255,0.258 +/- 0.0797,0.1156 +/- 0.0325,0.1185 +/- 0.0278,0.1521 +/- 0.0292,0.125 +/- 0.0391
MCAR,0.1,0.0276 +/- 0.003,0.1092 +/- 0.006,0.042 +/- 0.0032,0.0444 +/- 0.0025,0.0544 +/- 0.0026,0.0367 +/- 0.0023
MCAR,0.2,0.0611 +/- 0.0075,0.2163 +/- 0.0174,0.0945 +/- 0.0082,0.0986 +/- 0.0097,0.107 +/- 0.0145,0.0729 +/- 0.0094
MCAR,0.3,0.0799 +/- 0.0158,0.3142 +/- 0.0326,0.1258 +/- 0.0154,0.1262 +/- 0.0148,0.1575 +/- 0.0258,0.1031 +/- 0.0163
MCAR,0.4,0.1217 +/- 0.0082,0.4278 +/- 0.0354,0.1773 +/- 0.013,0.1779 +/- 0.0137,0.2722 +/- 0.0649,0.1479 +/- 0.0124
MCAR,0.5,0.1552 +/- 0.0095,0.5583 +/- 0.0154,0.2208 +/- 0.017,0.2057 +/- 0.0148,0.3879 +/- 0.0398,0.2079 +/- 0.0145
MNAR,0.1,0.0315 +/- 0.0033,0.1041 +/- 0.0055,0.0443 +/- 0.0085,0.0485 +/- 0.0049,0.0524 +/- 0.0051,0.0404 +/- 0.0089
MNAR,0.2,0.0694 +/- 0.0075,0.2318 +/- 0.0235,0.0999 +/- 0.0109,0.1058 +/- 0.0107,0.1417 +/- 0.0199,0.0842 +/- 0.0133
MNAR,0.3,0.1104 +/- 0.0078,0.3326 +/- 0.02,0.1594 +/- 0.0096,0.1657 +/- 0.0062,0.1877 +/- 0.0148,0.1343 +/- 0.0114
MNAR,0.4,0.1337 +/- 0.0196,0.4345 +/- 0.0408,0.1929 +/- 0.0224,0.1958 +/- 0.0234,0.3601 +/- 0.0566,0.1737 +/- 0.018
MNAR,0.5,0.1655 +/- 0.0157,0.5001 +/- 0.0565,0.2215 +/- 0.0222,0.2242 +/- 0.0244,0.4261 +/- 0.0758,0.2144 +/- 0.0481
