Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.116 +/- 0.0203,0.2251 +/- 0.0543,0.1218 +/- 0.0151,0.122 +/- 0.017,0.1578 +/- 0.0337,0.1414 +/- 0.0176
MAR,0.2,0.1151 +/- 0.0229,0.2085 +/- 0.0414,0.1305 +/- 0.0251,0.1282 +/- 0.0255,0.1553 +/- 0.0294,0.1532 +/- 0.0293
MAR,0.3,0.1377 +/- 0.0249,0.1879 +/- 0.0519,0.1369 +/- 0.0235,0.1378 +/- 0.0217,0.1663 +/- 0.0328,0.1561 +/- 0.0329
MAR,0.4,0.1425 +/- 0.0133,0.2136 +/- 0.0423,0.1541 +/- 0.0132,0.1529 +/- 0.0131,0.1769 +/- 0.0201,0.1702 +/- 0.0168
MAR,0.5,0.1192 +/- 0.0295,0.1749 +/- 0.0439,0.127 +/- 0.0321,0.1278 +/- 0.0292,0.1705 +/- 0.0308,0.1494 +/- 0.0358
MCAR,0.1,0.098 +/- 0.0026,0.2048 +/- 0.013,0.1104 +/- 0.0097,0.1119 +/- 0.0068,0.1464 +/- 0.0114,0.1342 +/- 0.0074
MCAR,0.2,0.126 +/- 0.0071,0.1948 +/- 0.0124,0.1292 +/- 0.0042,0.1324 +/- 0.0055,0.1545 +/- 0.0029,0.154 +/- 0.0107
MCAR,0.3,0.1157 +/- 0.015,0.193 +/- 0.0193,0.1226 +/- 0.0112,0.1244 +/- 0.0083,0.1523 +/- 0.018,0.1515 +/- 0.0184
MCAR,0.4,0.1262 +/- 0.0062,0.1971 +/- 0.013,0.1347 +/- 0.0101,0.1362 +/- 0.0106,0.1751 +/- 0.0171,0.1575 +/- 0.01
MCAR,0.5,0.1345 +/- 0.0069,0.2044 +/- 0.0013,0.1436 +/- 0.0067,0.142 +/- 0.0049,0.1892 +/- 0.0096,0.1692 +/- 0.0068
MNAR,0.1,0.1139 +/- 0.0141,0.2058 +/- 0.0167,0.1257 +/- 0.012,0.1267 +/- 0.0123,0.1485 +/- 0.0099,0.1541 +/- 0.0133
MNAR,0.2,0.1266 +/- 0.003,0.2088 +/- 0.0175,0.1354 +/- 0.0052,0.134 +/- 0.0062,0.1802 +/- 0.0194,0.1579 +/- 0.0054
MNAR,0.3,0.1397 +/- 0.0046,0.2039 +/- 0.0121,0.1431 +/- 0.0055,0.1432 +/- 0.005,0.1676 +/- 0.0101,0.161 +/- 0.0089
MNAR,0.4,0.138 +/- 0.0101,0.2087 +/- 0.0176,0.1478 +/- 0.0124,0.1452 +/- 0.0102,0.2102 +/- 0.0193,0.1637 +/- 0.0139
MNAR,0.5,0.1416 +/- 0.0129,0.1893 +/- 0.0216,0.1448 +/- 0.0152,0.1449 +/- 0.0146,0.1976 +/- 0.0173,0.1629 +/- 0.0189
