Scenario,"miss_pct [0, 1]",Evaluated: Ridge,et,mean,hyperimpute,missforest
MAR,0.1,0.0304 +/- 0.0061,0.022 +/- 0.002,0.0808 +/- 0.0095,0.0301 +/- 0.0061,0.0363 +/- 0.0062
MAR,0.2,0.0553 +/- 0.0084,0.0369 +/- 0.0081,0.1598 +/- 0.0202,0.0551 +/- 0.0091,0.0681 +/- 0.0139
MAR,0.3,0.0772 +/- 0.0124,0.049 +/- 0.0132,0.2144 +/- 0.0181,0.0754 +/- 0.0099,0.0952 +/- 0.0075
MAR,0.4,0.114 +/- 0.0115,0.0683 +/- 0.0065,0.3524 +/- 0.0346,0.1156 +/- 0.0129,0.1291 +/- 0.0187
MAR,0.5,0.1568 +/- 0.0203,0.1139 +/- 0.0099,0.3283 +/- 0.013,0.1437 +/- 0.0173,0.1617 +/- 0.0133
MCAR,0.1,0.0618 +/- 0.0107,0.0473 +/- 0.0152,0.1577 +/- 0.0215,0.0676 +/- 0.0201,0.0748 +/- 0.0171
MCAR,0.2,0.0986 +/- 0.0157,0.0702 +/- 0.014,0.2915 +/- 0.0255,0.0954 +/- 0.0203,0.111 +/- 0.0176
MCAR,0.3,0.1715 +/- 0.0195,0.1136 +/- 0.0269,0.4342 +/- 0.0388,0.1592 +/- 0.0252,0.1869 +/- 0.0215
MCAR,0.4,0.2581 +/- 0.0165,0.1862 +/- 0.0174,0.6223 +/- 0.031,0.2504 +/- 0.0075,0.2713 +/- 0.009
MCAR,0.5,0.3611 +/- 0.021,0.2556 +/- 0.009,0.7809 +/- 0.0217,0.3502 +/- 0.0165,0.364 +/- 0.015
MNAR,0.1,0.0531 +/- 0.0137,0.0361 +/- 0.0086,0.133 +/- 0.0267,0.0471 +/- 0.0096,0.0626 +/- 0.0152
MNAR,0.2,0.0974 +/- 0.0115,0.0713 +/- 0.0141,0.2628 +/- 0.0446,0.0989 +/- 0.022,0.1174 +/- 0.0215
MNAR,0.3,0.1954 +/- 0.0268,0.1395 +/- 0.028,0.4768 +/- 0.0601,0.1776 +/- 0.036,0.2208 +/- 0.0367
MNAR,0.4,0.2572 +/- 0.0196,0.1891 +/- 0.0383,0.6422 +/- 0.0325,0.2617 +/- 0.0302,0.2814 +/- 0.0424
MNAR,0.5,0.3362 +/- 0.0348,0.2586 +/- 0.02,0.7917 +/- 0.0466,0.3295 +/- 0.0306,0.3645 +/- 0.0244
