Scenario,"miss_pct [0, 1]",Evaluated: Ridge,et,mean,hyperimpute,missforest
MAR,0.1,0.1199 +/- 0.0204,0.0964 +/- 0.0109,0.2417 +/- 0.0109,0.1169 +/- 0.0191,0.1292 +/- 0.0177
MAR,0.2,0.1157 +/- 0.0176,0.1019 +/- 0.0209,0.2566 +/- 0.0291,0.1176 +/- 0.0178,0.1357 +/- 0.0228
MAR,0.3,0.1198 +/- 0.03,0.108 +/- 0.0368,0.2345 +/- 0.0209,0.1197 +/- 0.0332,0.1454 +/- 0.0285
MAR,0.4,0.1253 +/- 0.0076,0.1115 +/- 0.0145,0.2595 +/- 0.0151,0.1265 +/- 0.0069,0.1408 +/- 0.0122
MAR,0.5,0.1494 +/- 0.0227,0.144 +/- 0.0296,0.2207 +/- 0.0115,0.1609 +/- 0.0165,0.1688 +/- 0.0143
MCAR,0.1,0.1214 +/- 0.0241,0.121 +/- 0.0343,0.2403 +/- 0.0092,0.1408 +/- 0.0476,0.1564 +/- 0.0383
MCAR,0.2,0.1155 +/- 0.0084,0.1058 +/- 0.0046,0.2412 +/- 0.014,0.1141 +/- 0.012,0.1282 +/- 0.0088
MCAR,0.3,0.1378 +/- 0.0145,0.1165 +/- 0.0208,0.2427 +/- 0.0037,0.1395 +/- 0.0168,0.1536 +/- 0.017
MCAR,0.4,0.1486 +/- 0.0053,0.1345 +/- 0.0021,0.248 +/- 0.0147,0.1538 +/- 0.0119,0.1601 +/- 0.0073
MCAR,0.5,0.1614 +/- 0.0122,0.1466 +/- 0.0131,0.2488 +/- 0.0098,0.163 +/- 0.0087,0.1721 +/- 0.0127
MNAR,0.1,0.1159 +/- 0.0357,0.1009 +/- 0.0271,0.2476 +/- 0.0235,0.1105 +/- 0.03,0.1423 +/- 0.0398
MNAR,0.2,0.1127 +/- 0.0101,0.0951 +/- 0.0114,0.2232 +/- 0.009,0.1166 +/- 0.0175,0.1315 +/- 0.0106
MNAR,0.3,0.1477 +/- 0.0248,0.1313 +/- 0.0285,0.2572 +/- 0.014,0.1399 +/- 0.0277,0.1726 +/- 0.0178
MNAR,0.4,0.1477 +/- 0.0128,0.1424 +/- 0.0163,0.2454 +/- 0.0122,0.1679 +/- 0.0326,0.1605 +/- 0.0149
MNAR,0.5,0.1573 +/- 0.0107,0.1514 +/- 0.0121,0.2432 +/- 0.0102,0.1616 +/- 0.0118,0.1696 +/- 0.0092
