Scenario,"miss_pct [0, 1]",Evaluated: Ridge,et,mean,hyperimpute,missforest
MAR,0.1,0.0238 +/- 0.0052,0.0177 +/- 0.0052,0.0617 +/- 0.0145,0.0242 +/- 0.0037,0.025 +/- 0.0034
MAR,0.2,0.0451 +/- 0.0098,0.0304 +/- 0.0087,0.1065 +/- 0.0176,0.0465 +/- 0.0126,0.0468 +/- 0.0112
MAR,0.3,0.086 +/- 0.0226,0.0577 +/- 0.014,0.169 +/- 0.0427,0.0862 +/- 0.0216,0.0857 +/- 0.0202
MAR,0.4,0.1216 +/- 0.0163,0.0798 +/- 0.0099,0.2371 +/- 0.0417,0.1211 +/- 0.0147,0.1214 +/- 0.0152
MAR,0.5,0.1149 +/- 0.0344,0.079 +/- 0.026,0.258 +/- 0.0797,0.1156 +/- 0.0325,0.1185 +/- 0.0278
MCAR,0.1,0.0423 +/- 0.0035,0.0283 +/- 0.0034,0.1092 +/- 0.006,0.042 +/- 0.0032,0.0444 +/- 0.0025
MCAR,0.2,0.0931 +/- 0.0101,0.0618 +/- 0.0078,0.2163 +/- 0.0174,0.0945 +/- 0.0082,0.0986 +/- 0.0097
MCAR,0.3,0.1265 +/- 0.0176,0.0788 +/- 0.0151,0.3142 +/- 0.0326,0.1258 +/- 0.0154,0.1262 +/- 0.0148
MCAR,0.4,0.1852 +/- 0.0134,0.1225 +/- 0.01,0.4278 +/- 0.0354,0.1773 +/- 0.013,0.1779 +/- 0.0137
MCAR,0.5,0.2425 +/- 0.0134,0.1552 +/- 0.0085,0.5583 +/- 0.0154,0.2208 +/- 0.017,0.2057 +/- 0.0148
MNAR,0.1,0.0435 +/- 0.0074,0.0315 +/- 0.0036,0.1041 +/- 0.0055,0.0443 +/- 0.0085,0.0485 +/- 0.0049
MNAR,0.2,0.1047 +/- 0.011,0.0694 +/- 0.0074,0.2318 +/- 0.0235,0.0999 +/- 0.0109,0.1058 +/- 0.0107
MNAR,0.3,0.1593 +/- 0.0065,0.112 +/- 0.0058,0.3326 +/- 0.02,0.1594 +/- 0.0096,0.1657 +/- 0.0062
MNAR,0.4,0.2043 +/- 0.0281,0.1334 +/- 0.0183,0.4345 +/- 0.0408,0.1929 +/- 0.0224,0.1958 +/- 0.0234
MNAR,0.5,0.2502 +/- 0.0261,0.1648 +/- 0.0145,0.5001 +/- 0.0565,0.2215 +/- 0.0222,0.2242 +/- 0.0244
