Scenario,"miss_pct [0, 1]",Evaluated: Ridge,et,mean,hyperimpute,missforest
MAR,0.1,0.1247 +/- 0.0191,0.1152 +/- 0.0232,0.2251 +/- 0.0543,0.1218 +/- 0.0151,0.122 +/- 0.017
MAR,0.2,0.1321 +/- 0.0206,0.1137 +/- 0.0231,0.2085 +/- 0.0414,0.1305 +/- 0.0251,0.1282 +/- 0.0255
MAR,0.3,0.1368 +/- 0.0277,0.1357 +/- 0.0246,0.1879 +/- 0.0519,0.1369 +/- 0.0235,0.1378 +/- 0.0217
MAR,0.4,0.1539 +/- 0.0135,0.1419 +/- 0.0141,0.2136 +/- 0.0423,0.1541 +/- 0.0132,0.1529 +/- 0.0131
MAR,0.5,0.1251 +/- 0.032,0.1179 +/- 0.0294,0.1749 +/- 0.0439,0.127 +/- 0.0321,0.1278 +/- 0.0292
MCAR,0.1,0.1132 +/- 0.0075,0.097 +/- 0.0029,0.2048 +/- 0.013,0.1104 +/- 0.0097,0.1119 +/- 0.0068
MCAR,0.2,0.13 +/- 0.0046,0.1247 +/- 0.0076,0.1948 +/- 0.0124,0.1292 +/- 0.0042,0.1324 +/- 0.0055
MCAR,0.3,0.1205 +/- 0.0144,0.1138 +/- 0.0145,0.193 +/- 0.0193,0.1226 +/- 0.0112,0.1244 +/- 0.0083
MCAR,0.4,0.1316 +/- 0.0079,0.1287 +/- 0.0061,0.1971 +/- 0.013,0.1347 +/- 0.0101,0.1362 +/- 0.0106
MCAR,0.5,0.1439 +/- 0.0051,0.1336 +/- 0.0064,0.2044 +/- 0.0013,0.1436 +/- 0.0067,0.142 +/- 0.0049
MNAR,0.1,0.1266 +/- 0.0142,0.1148 +/- 0.0138,0.2058 +/- 0.0167,0.1257 +/- 0.012,0.1267 +/- 0.0123
MNAR,0.2,0.1351 +/- 0.004,0.1278 +/- 0.0039,0.2088 +/- 0.0175,0.1354 +/- 0.0052,0.134 +/- 0.0062
MNAR,0.3,0.1475 +/- 0.0046,0.14 +/- 0.0044,0.2039 +/- 0.0121,0.1431 +/- 0.0055,0.1432 +/- 0.005
MNAR,0.4,0.146 +/- 0.0128,0.1378 +/- 0.01,0.2087 +/- 0.0176,0.1478 +/- 0.0124,0.1452 +/- 0.0102
MNAR,0.5,0.1425 +/- 0.0139,0.1411 +/- 0.0128,0.1893 +/- 0.0216,0.1448 +/- 0.0152,0.1449 +/- 0.0146
