materials,bilayer_materials,ground_state_Stacking,a_mono,a,b,DFT_energy_bi,magnetic_moment,formation_energy,area,d,space_group,no_soc_bandgap,soc_bandgap,dielectric_constant,soc_energy,del_e_bilayer_bottom_and_mono
BiMoAs_814,BMDB_BiMoAs-BiMoAs_1,AA,3.3219535672,3.3369506798,3.3369506798,-39.623672,0,-0.297236,9.6433997813,2.7012722236,P3m1,0,0,133.58784,-0.61230495,0.112123
BiTaAs_815,BMDB_BiTaAs-BiTaAs_2,AA,3.4935828355,3.4381871196,3.4381871196,-42.397422,0,-0.3338813333,10.237284921,2.6800383081,P3m1,0,0,34.725118,-1.04061091,0.110058
AsClTe_820,BMDB_ClAsTe-ClAsTe_3,AA,3.9343651222,3.9242599261,3.9242599261,-22.106501,0,-0.1562478333,13.3368036542,3.2320669262,P3m1,0.4441,0.2889,7.557986,-0.07819881,-0.028724
NbAsSb_825,BMDB_SbNbAs-SbNbAs_4,AA,3.4017733585,3.3616587325,3.3616587325,-40.392551,0,-0.3322925,9.7868634435,2.435314318,P3m1,0,0,60.535916,-0.11580096,0.105072
BiClS_834,BMDB_ClBiS-ClBiS_5,AB1,4.0665628974,4.0523715084,4.0523715084,-24.352339,0,-0.1355218333,14.1795044513,2.9132750999,P3m1,1.6105,1.0477,4.177573,-0.40322535,-0.007675
BiClTe_835,BMDB_ClBiTe-ClBiTe_6,AB1,4.308875129,4.3049041599,4.3049041599,-22.286846,0,-0.1669706667,16.017671552,3.0113794741,P3m1,1.0802,0.2899,5.63949,-0.53223961,-0.023796
BiMoSb_839,BMDB_SbMoBi-SbMoBi_7,AC1,3.3717243363,3.3650243503,3.3650243503,-37.901191,0,-0.2887298333,9.9590663774,2.9894418102,P3m1,0,0,77.835318,-0.65398893,-0.040385
BiTaSb_840,BMDB_SbTaBi-SbTaBi_8,AB,3.3324757561,3.2908241428,3.2908241428,-40.398512,0,-0.3237173333,9.3786121526,3.509473822,P3m1,0,0,35.180685,-1.08727093,-0.035174
BiZrSb_842,BMDB_SbZrBi-SbZrBi_9,AC1,3.342583775,3.3081618271,3.3081618271,-36.086709,0,-0.2986538333,9.4753035327,3.7088823543,P3m1,0,0,56.297991,-0.63414758,-0.027918
ClSbTe_914,BMDB_ClSbTe-ClSbTe_10,AB1,4.1985653246,4.1945995747,4.1945995747,-21.930938,0,-0.1577213333,15.2222873561,3.0840364841,P3m1,0.6792,0.4538,6.28584,-0.10827818,-0.026481
HfSSe_930,BMDB_SeHfS-SeHfS_11,AA,3.7056180256,3.6849512192,3.6849512192,-44.944469,0,-0.1755598333,11.7594889383,3.0862099633,P3m1,0.7148,0.5753,6.412204,-0.44887451,0.004208
ISSb_948,BMDB_ISbS-ISbS_12,AA,4.0840347927,4.075876162,4.075876162,-22.157085,0,-0.1681265,14.3872536952,3.2269159524,P3m1,1.293,0.9909,6.621692,-0.12538735,0.004962
ISbSe_951,BMDB_ISbSe-ISbSe_13,AA,4.1680832509,4.1487492801,4.1487492801,-21.275014,0,-0.1856316667,14.9061207186,3.1876591248,P3m1,1.2051,0.9749,7.385279,-0.14452533,0.00047
NbSeTe_959,BMDB_TeNbSe-TeNbSe_14,AA,3.5859390929,3.5468738268,3.5468738268,-38.974077,0,-0.2625325,10.8947685879,2.9934653509,P3m1,0,0,29.503084,-0.14174598,0.044382
ZrSTe_965,BMDB_TeZrS-TeZrS_15,AA,3.8288182972,3.8063692858,3.8063692858,-40.02776,0,-0.186952,12.54739367,3.2216047337,P3m1,0,0,14.293833,-0.11712131,0.018172
TiSeTe_966,BMDB_TeTiSe-TeTiSe_16,AA,3.6477700328,3.6338943802,3.6338943802,-35.706532,0,-0.2070163333,11.4360866609,3.260953873,P3m1,0,0,34.836635,-0.08900646,0.023201
