SSID,ZS_CHS,ZS_R,ZS_log_Tr1K,ZS_log_Tr2K,PMStep,Form_Method,ZS_log_CSArea,ZS_log_StrainRate,ZS_log_PO_MW,ZS_log_FCVm,ZS_FCCED,ZS_log_Fchi,ZS_SS_TPSA_norm,ZS_SS_MolLogP_norm,ZS_HS_BertzCT,ZS_SS_VSA_EState8,ZS_SS_PEOE_VSA8,ZS_log_HS_NumNHCO_norm,ZS_FC_NumHAcceptors_norm,ZS_FC_RingCount_norm,logEB,logYM,logTS
SS1,-0.282081317,-0.45846916,-1.149485666,-0.446447718,2,2,-1.236621747,-0.293492223,0.242955685,-0.32658365,-0.185577683,0.469205423,-0.557772199,0.185004065,-0.805161372,0.062210277,1.097456765,0.732260751,0.925152691,0.057910599,1.187520721,1.568201724,1.830588669
SS2,-0.217933903,-0.45846916,-1.149485666,-0.446447718,2,2,-1.236621747,-0.293492223,0.242955685,-0.306909165,-0.218765712,0.357316875,-0.557772199,0.185004065,-0.735945002,0.062210277,1.097456765,0.608138941,0.703301924,-0.035137248,1.176091259,1.494154594,1.673020907
SS37,0.340148593,-0.45846916,0.257283837,0.423238831,2,4,1.002082384,0.12185362,-0.229586138,-0.521730374,0.233242749,0.016440182,0.204080095,-1.074002748,0.19270771,-0.103319105,1.075754859,-0.152460923,0.003756884,0.846038879,0.824125834,1.306425028,1.496929648
SS38,0.981622726,-0.45846916,0.257283837,0.423238831,2,4,1.002082384,0.12185362,-0.229586138,-0.877993025,0.542964492,-0.123056215,0.204080095,-1.074002748,0.242382334,-0.103319105,1.075754859,-0.20121783,-0.191480065,1.044841563,0.779596491,1.89203892,1.545307116
SS39,0.340148593,-0.45846916,0.546134351,0.423238831,2,4,1.002082384,0.12185362,-0.229586138,-0.843087852,0.053652329,-0.48614974,0.204080095,-1.074002748,-1.390363431,-0.103319105,1.075754859,0.636616837,1.100502045,-2.066042155,0.877946952,1.949585151,1.42975228
SS459,0.057899974,-0.45846916,0.546134351,0.423238831,2,4,-0.721379452,0.464460379,0.433045684,-0.185943508,0.338211294,-0.065391851,0.82502144,0.894743644,0.264897378,-0.630308815,-1.229683927,-0.272404061,-0.165313871,0.888424103,0.635483747,1.690550462,1.694605199
SS465,0.057899974,-0.45846916,0.546134351,0.423238831,1,2,-0.721379452,0.464460379,0.433045684,-0.185943508,0.338211294,-0.065391851,0.82502144,0.894743644,0.264897378,-0.630308815,-1.229683927,-0.272404061,-0.165313871,0.888424103,0.718501689,1.77151399,1.878521796
SS504,-0.840163812,-0.45846916,-0.659581224,-0.577990997,1,2,-0.466484703,2.266897347,0.142789141,0.455770578,0.807393941,0.640528817,-1.385959674,0.447089955,0.189292785,-0.852934921,0.355306604,-0.481847776,0.112459494,-0.031069877,0.765668555,1.227886705,1.064457989
SS503,-0.339813989,-0.45846916,-0.659581224,-0.577990997,1,2,-0.466484703,2.266897347,0.142789141,0.138243699,1.056593381,0.496887288,-1.385959674,0.447089955,0.277067605,-0.852934921,0.355306604,-0.586519089,-0.275606496,0.179934898,0.811575006,1.267171728,1.257198426
SS498,0.981622726,-0.45846916,-0.659581224,-0.577990997,1,2,-0.466484703,2.266897347,-0.676865369,-0.851049054,1.948449107,0.089056975,-1.549756041,0.551945929,0.309180344,-1.068852157,-0.119011401,-0.623830627,-0.564937885,0.326017905,0.64738297,1.942008053,1.496929648
