formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
DyIn3S6,824.7,2.161,30.9,1.224,69.938,1420.67,2.77,1.203,3571.4,4.29,5.31614,529.01,78.4,0.05926,24.3475,2.059,7,13,3.3,0,107.56,2.204,3.9,1.642,2.7,6,4.8,13.8,269.4,3.116,98.34,1.24,1.2,2.532,4.8,4.4,7.1,0.512,25.712,3,1,2.7,2,8247,21.61,309,12.24,699.38,14206.7,27.7,12.03,35714,42.9,53.1614,5290.1,784,0.5926,243.475,20.59,70,130,33,0,1075.6,22.04,39,16.42,27,60,48,138,2694,31.16,983.4,12.4,12,25.32,48,44,71,5.12,257.12,30,10,27,20,442,1.5,50,1.4,130.43,2122.3,0.52,0.57,6326,6.48,1.62,1299.2,57,0.0074,4.855,1.4,10,10,4,0,94,1.36,3,2.57,4,4,3,13,48,9.34,221.7,0.75,2,1.44,3,4,21.6,0.54,81.33,10,10,4,0,1.22
K4Ba2Nb4S22,852.8125,2.103125,22,1.314375,47.1325,1369.13125,3.140625,1.24125,2473.125,2.820625,5.0875,712.41875,67.3125,0.056875,24.09,2.029375,9.5,14,3.25,0.25,115.45,2.131875,3.5625,1.775,3.5,5.5625,4.75,11.875,305.0625,5.258125,110.84625,1.278125,0.9375,2.25,5,4.5,11.8625,0.626875,20.848125,0.5,0,2.75,1.75,27290,67.3,704,42.06,1508.24,43812.2,100.5,39.72,79140,90.26,162.8,22797.4,2154,1.82,770.88,64.94,304,448,104,8,3694.4,68.22,114,56.8,112,178,152,380,9762,168.26,3547.08,40.9,30,72,160,144,379.6,20.06,667.14,16,0,88,56,581,1.86,40,1.65,105.26,4297.3,6.64,0.96,7386,7.71,3.06,2404.75,85,0.07,6.55,1.65,4,0,4,1,135.2,1.76,3,2.59,3,6,5,15,636,24.68,672.2,1.2,2,4,5,5,40.5,0.55,102.13,4,0,4,1,1.77
K2Ho4Cu4S9,796.9473684,1.922631579,29.78947368,1.453684211,67.40796211,1672.639474,2.843684211,1.312631579,3591.368421,4.81,4.996168421,871.5552632,62.42105263,0.071242105,24.51186341,1.817368421,7.894736842,11.68421053,4.105263158,0.315789474,122.5578947,1.967368421,3.947368421,2.107368421,2.210526316,4.894736842,4,10.63157895,276.1578947,6.375789474,127.0073684,1.357894737,1.526315789,2.829473684,5.894736842,3.578947368,12.32105263,0.528947368,98.73842105,2.105263158,2.315789474,1.894736842,1.684210526,15142,36.53,566,27.62,1280.75128,31780.15,54.03,24.94,68236,91.39,94.9272,16559.55,1186,1.3536,465.7254048,34.53,150,222,78,6,2328.6,37.38,75,40.04,42,93,76,202,5247,121.14,2413.14,25.8,29,53.76,112,68,234.1,10.05,1876.03,40,44,36,32,581,1.86,51,1.55,132.86032,2255.3,2.56,0.94,6256,8.1,3.06,1410.75,85,0.12,6.55,1.65,10,11,4,1,135.2,1.76,3,2.59,4,6,5,15,248,11.33,290.5,1.2,3,4.44,10,5,40.5,0.59,400.73,10,11,4,1,2.43
Pb0.9Mn0.1Te,792.55,2.0018,64.15,1.3885,159.787,1649.15,2.1545,1.406,3810.85,8.6215,5.02018,707.475,84.05,0.05675,26.1997,1.9,0.25,7.7,3.1,0,116.615,1.969,5.4,1.8865,3.15,5.45,5.05,14.65,200.75,11.50705,117.54,1.58,1.05,2.387,5.15,2.9,6.28,0.1825,17.451,9.75,6.3,2.9,2,1585.1,4.0036,128.3,2.777,319.574,3298.3,4.309,2.812,7621.7,17.243,10.04036,1414.95,168.1,0.1135,52.3994,3.8,0.5,15.4,6.2,0,233.23,3.938,10.8,3.773,6.3,10.9,10.1,29.3,401.5,23.0141,235.08,3.16,2.1,4.774,10.3,5.8,12.56,0.365,34.902,19.5,12.6,5.8,4,153,0.41,57,0.38,152.26,972.2,0.89,0.12,3071,5.16,2.1,916.5,38,0.09,1.416,0.72,5,14,4,0,16.7,0.55,2,0.55,3,2,2,9,85,12.691,173.45,0.4,1,3.78,3,2,3.9,0.35,32.95,5,14,4,0,0.49
RbInSnS4,810,2.078571429,28.57142857,1.311428571,63.89714286,1246.692857,2.558571429,1.291428571,2841.142857,3.49,5.058571429,398.6785714,73,0.054285714,25.06571429,2.001428571,7.142857143,14,3.285714286,0.142857143,116.4142857,2.125714286,3.857142857,1.775714286,2.857142857,5.571428571,4.571428571,13.14285714,249.5714286,2.765714286,91.24571429,1.335714286,0.857142857,2.348571429,4.571428571,4.142857143,10.9,0.522857143,29.64,2.857142857,0,2.714285714,1.857142857,5670,14.55,200,9.18,447.28,8726.85,17.91,9.04,19888,24.43,35.41,2790.75,511,0.38,175.46,14.01,50,98,23,1,814.9,14.88,27,12.43,20,39,32,92,1747,19.36,638.72,9.35,6,16.44,32,29,76.3,3.66,207.48,20,0,19,13,597,1.88,34,1.77,86.64,1825.3,2.29,1.09,5416,5.78,2.66,193.1,84,0.04,8.25,1.66,10,0,4,1,147.7,1.76,2,3,3,6,5,15,216,5.31,286,1.35,1,3,5,5,44.4,0.48,81.33,10,0,4,1,2.7
PbGa2GeSe6,828.2,2.1944,38,1.169,89.301,1621.75,2.626,1.217,3958.2,5.726,5.22804,536.8,84.2,0.0645,25.3396,2.055,9,12.6,3,0,103.21,2.28,4.2,1.479,3,6.3,5,15,250.7,9.3059,125.22,1.255,1,2.532,5,5,5.19,0.311,17.952,1,1.4,3,2,8282,21.944,380,11.69,893.01,16217.5,26.26,12.17,39582,57.26,52.2804,5368,842,0.645,253.396,20.55,90,126,30,0,1032.1,22.8,42,14.79,30,63,50,150,2507,93.059,1252.2,12.55,10,25.32,50,50,51.9,3.11,179.52,10,14,30,20,362,0.67,51,0.51,137.48,2145,1.82,0.31,6643,6.61,1.59,917.6,15,0.025,3.696,0.75,10,14,3,0,33.6,0.74,2,0.8,3,2,3,3,181,32.141,293.2,0.65,0,2,3,3,4.3,0.24,59.38,10,14,3,0,1.96
EuYb2S4,821.8571429,1.947142857,38.14285714,1.467142857,89.475,1087.407143,2.351428571,1.292857143,2670.857143,3.922857143,5.7717,689.0357143,65,0.050728571,24.3351,1.897142857,10,9,3.714285714,0,119.7428571,1.96,4.285714286,2.217142857,4.428571429,5.285714286,4.714285714,10.42857143,228.2857143,4.487142857,62.92857143,1.335714286,1.857142857,2,4.714285714,4.285714286,11.61428571,0.474285714,12.11142857,0,5,2.285714286,2,5753,13.63,267,10.27,626.325,7611.85,16.46,9.05,18696,27.46,40.4019,4823.25,455,0.3551,170.3457,13.28,70,63,26,0,838.2,13.72,30,15.52,31,37,33,73,1598,31.41,440.5,9.35,13,14,33,30,81.3,3.32,84.78,0,35,16,14,453,1.5,54,1.43,140.97,1084.3,1.25,0.83,3286,4.9,1.0008,709.2,63,0.0255,4.5837,1.43,0,14,4,0,101.6,1.48,3,2.84,3,4,3,13,127,7.49,133.7,0.85,2,0,3,4,24.8,0.56,34.63,0,14,4,0,1.6
Hg0.01Cd0.99Se,905.195,1.9762,41.16,1.3205,96.1259,996.11,1.80755,1.32005,2352.375,6.74425,4.8616345,540.301,79.505,0.0699365,25.57016005,1.88045,5,13.93,4,0,105.071,2.12155,4.505,1.75595,2,5.5,3.5,14,169.245,6.420525,68.433295,1.34975,0.51,3.22,9,4,5.491,0.274545,48.2177,5,0.07,2,2,1810.39,3.9524,82.32,2.641,192.2518,1992.22,3.6151,2.6401,4704.75,13.4885,9.723269,1080.602,159.01,0.139873,51.1403201,3.7609,10,27.86,8,0,210.142,4.2431,9.01,3.5119,4,11,7,28,338.49,12.84105,136.86659,2.6995,1.02,6.44,18,8,10.982,0.54909,96.4354,10,0.14,4,4,139,0.91,46,0.68,121.63,408,1.79,0.33,1225,8.71,4.3269,359.8,19,0.02,2.61201,0.86,10,14,4,0,26.6,0.86,2,1.12,4,3,5,4,166,4.395,61.87,0.4,2,2.44,6,4,3.4,0.181,96.28,10,14,4,0,0.29
VO2,1093,2.916666667,13,0.89,27.64666667,1277.816667,3.516666667,0.903333333,2079.72,2.036666667,6.646666667,757.55,73.33333333,0.04,18.13333333,2.836666667,9,14,3.333333333,0,76.7,2.836666667,2.666666667,1.123333333,3.666666667,6,5,12.33333333,337.3333333,7.113333333,153.2733333,0.85,1.333333333,1.666666667,5.666666667,4.666666667,4.66,0.776666667,10.25333333,1,0,2.666666667,2,3279,8.75,39,2.67,82.94,3833.45,10.55,2.71,6239.16,6.11,19.94,2272.65,220,0.12,54.4,8.51,27,42,10,0,230.1,8.51,8,3.37,11,18,15,37,1012,21.34,459.82,2.55,4,5,17,14,13.98,2.33,30.76,3,0,8,6,663,2.08,15,1.23,34.94,3563,2.69,0.52,5775.42,6.11,5.17,2108.4,41,0.12,10.24,2.35,3,0,4,0,95.1,1.81,2,1.96,1,3,3,11,265,20.68,449.59,0.75,1,5,1,4,11.61,0.43,30.67,3,0,4,0,0.466
InSb0.2As0.8,741.2,1.912,42.8,1.369,99.554,1754.95,2.719,1.334,4712,6.616,4.683,741.35,79.6,0.067,25.65,1.792,4,14,4,0,121.07,1.967,4.6,1.77,2,5.5,4,14,268.5,14.697,137.368,1.38,1,3.22,4,3.2,7.23,0.268,63.23,6,0,2,2,1482.4,3.824,85.6,2.738,199.108,3509.9,5.438,2.668,9424,13.232,9.366,1482.7,159.2,0.134,51.3,3.584,8,28,8,0,242.14,3.934,9.2,3.54,4,11,8,28,537,29.394,274.736,2.76,2,6.44,8,6.4,14.46,0.536,126.46,12,0,4,4,389,0.55,18,0.42,46.84,1463,0.44,0.25,4630,1.58,0.94,660.4,10,0.03,1.69,0.59,10,0,2,0,38.1,0.4,1,0.63,2,1,2,2,59,24.44,196.74,0.4,0,0.44,2,3,5.4,0.12,57.3,10,0,2,0,0.12
