avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_abs_valence,avg_metallic_valence,avg_valence_d,sum_Density_(g/mL),sum_heat_atomization(kJ/mol),sum_valence_d,range_Density_(g/mL),range_Nagle_electonegativity,range_heat_of_fusion_(kJ/mol)_,target
4.29,5.31614,7.0,2.7,2.532,3.0,42.9,2694.0,30.0,6.48,1.4,9.34,1.22
2.820625,5.0875,9.5,3.5,2.25,0.5,90.26,9762.0,16.0,7.71,1.65,24.68,1.77
4.81,4.996168421,7.894736842,2.210526316,2.829473684,2.105263158,91.39,5247.0,40.0,8.1,1.65,11.33,2.43
8.6215,5.02018,0.25,3.15,2.387,9.75,17.243,401.5,19.5,5.16,0.72,12.691,0.49
3.49,5.058571429,7.142857143,2.857142857,2.348571429,2.857142857,24.43,1747.0,20.0,5.78,1.66,5.31,2.7
5.726,5.22804,9.0,3.0,2.532,1.0,57.26,2507.0,10.0,6.61,0.75,32.141,1.96
3.922857143,5.7717,10.0,4.428571429,2.0,0.0,27.46,1598.0,0.0,4.9,1.43,7.49,1.6
6.74425,4.8616345,5.0,2.0,3.22,5.0,13.4885,338.49,10.0,8.71,0.86,4.395,0.29
2.036666667,6.646666667,9.0,3.666666667,1.666666667,1.0,6.11,1012.0,3.0,6.11,2.35,20.68,0.466
6.616,4.683,4.0,2.0,3.22,6.0,13.232,537.0,12.0,1.58,0.59,24.44,0.12
4.02,5.265728571,7.142857143,3.571428571,2.411428571,2.857142857,28.14,1780.0,20.0,5.24,1.43,7.49,1.5
6.688181818,4.948831169,0.0,2.779220779,2.592727273,10.0,514.99,16464.0,770.0,2.41,0.63,14.23,1.17
5.15875,4.6975,5.875,2.375,3.665,4.125,41.27,2644.0,33.0,6.89,1.22,19.18,1.0
3.198571429,4.477142857,10.0,2.285714286,3.142857143,0.0,22.39,2185.0,0.0,4.35,1.27,36.28,2.06
6.23875,5.37914375,8.75,2.28125,2.555,1.25,199.64,7232.0,40.0,6.78,1.52,8.97,1.99
9.31225,6.3458565,0.0,2.0,3.22,10.0,18.6245,269.73,20.0,7.26,0.63,15.195,0.165
4.398888889,5.13,5.555555556,2.666666667,2.64,4.444444444,39.59,2367.0,40.0,5.24,0.97,1.54,0.9
4.922857143,5.121428571,10.0,2.857142857,2.411428571,0.0,34.46,1660.0,0.0,2.4,1.33,2.16,3.163
5.597142857,5.339285714,7.714285714,3.142857143,2.6,2.285714286,78.36,3787.0,32.0,2.52,1.26,1.57,0.3
7.0,5.356666667,3.333333333,1.333333333,3.626666667,6.666666667,21.0,817.0,20.0,10.5,2.17,11.08,1.5324
4.433571429,5.115,5.714285714,2.642857143,2.76,4.285714286,62.07,3785.0,60.0,6.89,0.98,11.33,1.34
3.465833333,5.175,10.0,2.833333333,2.48,0.0,41.59,3277.0,0.0,3.83,1.51,6.03,3.54
5.931818182,5.017272727,5.909090909,2.454545455,2.725454545,4.090909091,130.5,4466.0,90.0,6.78,1.52,4.6,1.62
2.751111111,6.5719,7.722222222,2.444444444,1.653333333,2.277777778,49.52,5055.0,41.0,8.65,2.52,49.98,3.8
1.81,3.403333333,10.0,2.0,2.666666667,0.0,5.43,808.0,0.0,0.78,0.76,42.01,1.9
4.653571429,5.186428571,9.285714286,2.857142857,2.46,0.714285714,65.15,3236.0,10.0,5.26,1.52,34.85,2.31
5.898111111,5.295212593,6.092592593,3.333333333,2.272740741,3.907407407,159.249,6089.2,105.5,9.87,1.48,17.68,0.45
6.81875,4.92,0.0,2.708333333,2.683333333,10.0,163.65,5229.0,240.0,4.26,0.63,14.23,1.5
1.312631579,6.325789474,9.473684211,2.526315789,1.181052632,0.526315789,24.94,5725.0,10.0,8.65,2.79,49.98,2.34
10.19333333,6.174666667,8.333333333,4.333333333,3.26,1.666666667,30.58,1224.0,5.0,16.21,0.96,26.51,1.07
6.7486,5.29475,5.0,3.0,2.22,5.0,13.4972,474.48,10.0,9.33,0.73,4.97,0.366
6.496842105,5.845621053,9.631578947,2.736842105,2.315789474,0.368421053,123.44,5565.0,7.0,7.97,1.52,16.51,1.78
3.08,4.642214286,10.0,1.714285714,2.971428571,0.0,21.56,3645.0,0.0,5.18,0.97,41.57,3.5
6.0,6.08,5.0,2.0,2.89,5.0,12.0,627.0,10.0,12.0,2.01,17.38,0.8
5.4875,4.945,5.0,2.25,3.22,5.0,21.95,1085.0,20.0,8.43,1.04,9.58,1.926666667
3.758333333,4.633333333,8.333333333,3.0,1.666666667,1.666666667,22.55,1096.0,10.0,5.27,1.36,14.89,1.91
8.82,5.0902,0.0,3.0,2.22,10.0,17.64,393.0,20.0,5.16,0.32,12.691,0.278833333
1.505555556,6.88,9.444444444,3.666666667,1.086666667,0.555555556,13.55,2553.0,5.0,10.2,2.79,31.78,2.96
3.895,4.225,5.0,3.0,2.0,5.0,7.79,375.0,10.0,4.69,0.97,8.95,4.185
5.541176471,5.296917647,9.647058824,3.294117647,2.235294118,0.352941176,94.2,4633.0,6.0,15.74,1.47,29.27,1.45
2.227142857,4.372857143,10.0,1.142857143,2.857142857,0.0,15.59,3616.0,0.0,0.79,0.91,41.66,4.5
3.59,4.595,8.25,4.0,3.695,1.75,14.36,1370.0,7.0,7.08,0.78,15.53,0.45
7.5725,4.74,0.0,2.25,3.22,10.0,30.29,921.0,40.0,4.26,0.63,14.23,0.945
1.37,6.705714286,9.387755102,2.653061224,1.292244898,0.612244898,67.13,16634.0,30.0,8.65,2.83,49.98,4.76
6.888571429,4.894414286,5.714285714,2.285714286,3.474285714,4.285714286,48.22,1847.0,30.0,4.17,1.18,6.36,0.2
6.42,4.5625,2.5,2.25,3.11,7.5,25.68,1004.0,30.0,7.8,0.63,6.7,1.85
8.746666667,5.717833333,8.0,4.0,3.926666667,2.0,26.24,1421.0,6.0,20.78,0.83,31.14,1.165
0.843333333,7.208333333,10.0,3.0,0.416666667,0.0,10.12,2763.0,0.0,4.79,2.68,6.47,4.9
1.35,5.2,10.0,2.0,3.0,0.0,2.7,799.0,0.0,2.7,1.57,10.43,6.1
1.639333333,5.0,9.066666667,3.0,1.237333333,0.933333333,24.59,3107.0,14.0,8.9,2.67,15.97,0.495
