dataset,column,miss_ratio,method,RMSE,Wasserstein,time
3D_printer,Elongation,0.9,fill_with_et,0.866246608328527,0.5083050847457633,0.06557726860046387
3D_printer,Elongation,0.9,fill_with_ridge,0.91846928968421,0.36405232291357403,0.005954742431640625
3D_printer,Elongation,0.9,fill_with_xgb,0.7356373285898206,0.5357781842603523,0.02400970458984375
3D_printer,Elongation,0.9,fill_with_lgb,0.794847315699683,0.6717917675544796,0.01496577262878418
3D_printer,Elongation,0.9,fill_with_gbr,0.757735747593762,0.4964194767535056,0.028035879135131836
3D_printer,Elongation,0.9,fill_with_rf,0.7938213093552229,0.5822372881355935,0.0610356330871582
3D_printer,Elongation,0.9,fill_with_dt,1.0254597976567241,0.4110169491525423,0.004999876022338867
3D_printer,Elongation,0.8,fill_with_et,0.4977334665999309,0.20471698113207537,0.0599980354309082
3D_printer,Elongation,0.8,fill_with_ridge,0.5646053461581783,0.30663455094526443,0.0050013065338134766
3D_printer,Elongation,0.8,fill_with_xgb,0.560047532131423,0.21008504246765713,0.019963741302490234
3D_printer,Elongation,0.8,fill_with_lgb,0.7301855883657657,0.6112481934065742,0.01597428321838379
3D_printer,Elongation,0.8,fill_with_gbr,0.4946965160421655,0.23581348994739554,0.03099799156188965
3D_printer,Elongation,0.8,fill_with_rf,0.43611459892581683,0.22032075471698048,0.062033653259277344
3D_printer,Elongation,0.8,fill_with_dt,0.4652550527946402,0.2330188679245283,0.0049991607666015625
3D_printer,Elongation,0.7000000000000001,fill_with_et,0.36125382501359926,0.15147826086956556,0.0769650936126709
3D_printer,Elongation,0.7000000000000001,fill_with_ridge,0.5533319098730312,0.15070604630513185,0.0060312747955322266
3D_printer,Elongation,0.7000000000000001,fill_with_xgb,0.47045021237695006,0.19389753600825438,0.019997596740722656
3D_printer,Elongation,0.7000000000000001,fill_with_lgb,0.7519407872210229,0.6208695665649746,0.012969255447387695
3D_printer,Elongation,0.7000000000000001,fill_with_gbr,0.43246361881804896,0.18495735521970086,0.03199911117553711
3D_printer,Elongation,0.7000000000000001,fill_with_rf,0.36970436926302874,0.2109456521739135,0.0650327205657959
3D_printer,Elongation,0.7000000000000001,fill_with_dt,0.5281221861257684,0.14565217391304347,0.004997730255126953
3D_printer,Elongation,0.6000000000000001,fill_with_et,0.35694488370055105,0.20650000000000016,0.07800149917602539
3D_printer,Elongation,0.6000000000000001,fill_with_ridge,0.43223775744050547,0.2360773500874947,0.00600123405456543
3D_printer,Elongation,0.6000000000000001,fill_with_xgb,0.500687787498718,0.16851820141077045,0.02800464630126953
3D_printer,Elongation,0.6000000000000001,fill_with_lgb,0.8127153830321661,0.6860576966404914,0.008965253829956055
3D_printer,Elongation,0.6000000000000001,fill_with_gbr,0.44986998245871285,0.15423195602622103,0.03200030326843262
3D_printer,Elongation,0.6000000000000001,fill_with_rf,0.42822631283002655,0.224025,0.062033653259277344
3D_printer,Elongation,0.6000000000000001,fill_with_dt,0.5401967234258276,0.15125000000000005,0.004962921142578125
3D_printer,Elongation,0.5,fill_with_et,0.3397641561703973,0.20369696969696985,0.06903696060180664
3D_printer,Elongation,0.5,fill_with_ridge,0.5026185935984239,0.2913139221487728,0.007997512817382812
3D_printer,Elongation,0.5,fill_with_xgb,0.4394399479041725,0.19104447292559074,0.0190427303314209
3D_printer,Elongation,0.5,fill_with_lgb,0.7425803775708881,0.5792011030613555,0.012949943542480469
3D_printer,Elongation,0.5,fill_with_gbr,0.43949076383834457,0.13789973838067987,0.036214351654052734
3D_printer,Elongation,0.5,fill_with_rf,0.3597713288894894,0.21627272727272737,0.06600785255432129
3D_printer,Elongation,0.5,fill_with_dt,0.5982297116315671,0.23939393939393938,0.004998207092285156
3D_printer,Elongation,0.4,fill_with_et,0.3969735628670819,0.22421153846153902,0.07903695106506348
3D_printer,Elongation,0.4,fill_with_ridge,0.3747967885557302,0.17780513979489998,0.011003732681274414
3D_printer,Elongation,0.4,fill_with_xgb,0.4987271111308871,0.23294267241771402,0.021000146865844727
3D_printer,Elongation,0.4,fill_with_lgb,0.4991792033599712,0.33563207458869854,0.012967586517333984
3D_printer,Elongation,0.4,fill_with_gbr,0.5270032024768129,0.2776294755211616,0.03196859359741211
3D_printer,Elongation,0.4,fill_with_rf,0.48940112539558184,0.2629230769230775,0.06597208976745605
3D_printer,Elongation,0.4,fill_with_dt,0.680214898169915,0.2730769230769231,0.005705833435058594
3D_printer,Elongation,0.30000000000000004,fill_with_et,0.2779950314304195,0.14487500000000084,0.06000065803527832
3D_printer,Elongation,0.30000000000000004,fill_with_ridge,0.5230475162218772,0.227908896862089,0.004999637603759766
3D_printer,Elongation,0.30000000000000004,fill_with_xgb,0.3662155322601607,0.13819837212562555,0.01999187469482422
3D_printer,Elongation,0.30000000000000004,fill_with_lgb,0.386044451194979,0.150998539378641,0.017967700958251953
3D_printer,Elongation,0.30000000000000004,fill_with_gbr,0.3664418061722746,0.1472871081652662,0.037970542907714844
3D_printer,Elongation,0.30000000000000004,fill_with_rf,0.3233932783778906,0.16522500000000015,0.06903743743896484
3D_printer,Elongation,0.30000000000000004,fill_with_dt,0.41063974478854337,0.18749999999999994,0.0049991607666015625
