dataset,column,miss_ratio,method,RMSE,Wasserstein,time
Bala_classification_dataset,Mendeleev_Number,0.9,fill_with_et,5.214001828500344,1.7288515028901588,0.0599970817565918
Bala_classification_dataset,Mendeleev_Number,0.9,fill_with_ridge,6.355025105489819,3.1173143245162436,0.006000041961669922
Bala_classification_dataset,Mendeleev_Number,0.9,fill_with_xgb,6.223370909066095,1.7952741718270189,0.02499699592590332
Bala_classification_dataset,Mendeleev_Number,0.9,fill_with_lgb,7.588982550792621,6.00641639785697,0.013964653015136719
Bala_classification_dataset,Mendeleev_Number,0.9,fill_with_gbr,5.890957310707175,1.6179607435088956,0.03196549415588379
Bala_classification_dataset,Mendeleev_Number,0.9,fill_with_rf,5.419332919052007,1.5688693063584056,0.06304216384887695
Bala_classification_dataset,Mendeleev_Number,0.9,fill_with_dt,6.482243915341113,1.6123705202312146,0.004999637603759766
Bala_classification_dataset,Mendeleev_Number,0.8,fill_with_et,5.099962229202171,1.8591614610389535,0.06499314308166504
Bala_classification_dataset,Mendeleev_Number,0.8,fill_with_ridge,6.3823586828014145,3.208552771751235,0.009999275207519531
Bala_classification_dataset,Mendeleev_Number,0.8,fill_with_xgb,6.390781179384224,1.1963526827725504,0.02199840545654297
Bala_classification_dataset,Mendeleev_Number,0.8,fill_with_lgb,7.675517576786273,6.151213859590439,0.010969877243041992
Bala_classification_dataset,Mendeleev_Number,0.8,fill_with_gbr,5.565427096302162,0.9424936364889784,0.03699898719787598
Bala_classification_dataset,Mendeleev_Number,0.8,fill_with_rf,5.2170387873778195,1.2972183116882965,0.07003235816955566
Bala_classification_dataset,Mendeleev_Number,0.8,fill_with_dt,6.957031373795436,1.6261636363636356,0.00500035285949707
Bala_classification_dataset,Mendeleev_Number,0.7000000000000001,fill_with_et,5.925451984278298,1.536600597014926,0.07563281059265137
Bala_classification_dataset,Mendeleev_Number,0.7000000000000001,fill_with_ridge,6.966772122176435,2.8406545652626365,0.008954286575317383
Bala_classification_dataset,Mendeleev_Number,0.7000000000000001,fill_with_xgb,5.33049139152628,1.3365903259277345,0.023960113525390625
Bala_classification_dataset,Mendeleev_Number,0.7000000000000001,fill_with_lgb,6.108088220264806,2.1064866812841867,0.01300191879272461
Bala_classification_dataset,Mendeleev_Number,0.7000000000000001,fill_with_gbr,4.743024614470984,1.3844487411130801,0.03800034523010254
Bala_classification_dataset,Mendeleev_Number,0.7000000000000001,fill_with_rf,4.675411222977225,1.6478830149253783,0.07330822944641113
Bala_classification_dataset,Mendeleev_Number,0.7000000000000001,fill_with_dt,5.0590603362502895,1.05217014925373,0.004999637603759766
Bala_classification_dataset,Mendeleev_Number,0.6000000000000001,fill_with_et,3.2378804851456904,1.2008245565217526,0.056578636169433594
Bala_classification_dataset,Mendeleev_Number,0.6000000000000001,fill_with_ridge,7.342390282259849,3.5026900382685544,0.004999637603759766
Bala_classification_dataset,Mendeleev_Number,0.6000000000000001,fill_with_xgb,4.181230284271189,1.4860966830842388,0.0319972038269043
Bala_classification_dataset,Mendeleev_Number,0.6000000000000001,fill_with_lgb,4.8843607823509,1.7911982412575254,0.01696944236755371
Bala_classification_dataset,Mendeleev_Number,0.6000000000000001,fill_with_gbr,3.7907311542698547,1.081528061294001,0.040996551513671875
Bala_classification_dataset,Mendeleev_Number,0.6000000000000001,fill_with_rf,4.046826846190764,1.444021530434803,0.0788736343383789
Bala_classification_dataset,Mendeleev_Number,0.6000000000000001,fill_with_dt,5.061220530748445,1.4560678260869557,0.004994392395019531
Bala_classification_dataset,Mendeleev_Number,0.5,fill_with_et,5.4685302946408365,1.6867750833333557,0.06903290748596191
Bala_classification_dataset,Mendeleev_Number,0.5,fill_with_ridge,7.249133739517642,3.9186176073784504,0.0070035457611083984
Bala_classification_dataset,Mendeleev_Number,0.5,fill_with_xgb,4.9398235194138405,1.4772304256439206,0.04599475860595703
Bala_classification_dataset,Mendeleev_Number,0.5,fill_with_lgb,4.6686610631785,2.1032664839207538,0.021992921829223633
Bala_classification_dataset,Mendeleev_Number,0.5,fill_with_gbr,5.215625977923714,1.5114905368052172,0.043649911880493164
Bala_classification_dataset,Mendeleev_Number,0.5,fill_with_rf,5.109906141649939,1.8738464791666756,0.08003425598144531
Bala_classification_dataset,Mendeleev_Number,0.5,fill_with_dt,5.533575562108328,1.4284197916666677,0.005998134613037109
Bala_classification_dataset,Mendeleev_Number,0.4,fill_with_et,3.973740754364428,0.8672262077922357,0.06200051307678223
Bala_classification_dataset,Mendeleev_Number,0.4,fill_with_ridge,5.460412309732005,2.9043764695753254,0.006002902984619141
Bala_classification_dataset,Mendeleev_Number,0.4,fill_with_xgb,5.304675237887389,0.8807797066824786,0.029999732971191406
Bala_classification_dataset,Mendeleev_Number,0.4,fill_with_lgb,4.1784376062412205,1.2054747638697056,0.02296590805053711
Bala_classification_dataset,Mendeleev_Number,0.4,fill_with_gbr,4.086115175214968,0.8559555029122664,0.04500126838684082
Bala_classification_dataset,Mendeleev_Number,0.4,fill_with_rf,5.2151564326669515,1.0313115584415637,0.08793330192565918
