dataset,column,miss_ratio,method,RMSE,Wasserstein,time
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.9,fill_with_et,79.60510681012934,36.08806722689076,0.07299399375915527
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.9,fill_with_ridge,105.92873124456378,62.51256116837136,0.014001131057739258
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.9,fill_with_xgb,165.59102641198007,25.47536359514509,0.027998685836791992
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.9,fill_with_lgb,106.13947702604503,70.37233354880414,0.014969110488891602
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.9,fill_with_gbr,91.05933420388881,27.165786779388966,0.02900242805480957
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.9,fill_with_rf,91.08304792972217,47.57848739495799,0.0620269775390625
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.9,fill_with_dt,108.63786114403017,22.403361344537814,0.003998994827270508
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.8,fill_with_et,89.04385558770761,30.821037735849046,0.056996822357177734
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.8,fill_with_ridge,113.30131162565135,59.04035229062275,0.006001949310302734
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.8,fill_with_xgb,93.09841725173916,29.7157967045622,0.03399968147277832
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.8,fill_with_lgb,112.14871954871447,75.88388969521046,0.009964942932128906
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.8,fill_with_gbr,89.7885764117343,34.62522087361717,0.03200054168701172
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.8,fill_with_rf,90.20187606299007,42.534339622641504,0.06303286552429199
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.8,fill_with_dt,107.54323395644805,34.39622641509433,0.0049991607666015625
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.7000000000000001,fill_with_et,71.2751925637525,24.3420652173913,0.07499480247497559
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.7000000000000001,fill_with_ridge,111.08173344073741,64.7412304779036,0.00599980354309082
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.7000000000000001,fill_with_xgb,75.981011266246,25.8372278628142,0.03299856185913086
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.7000000000000001,fill_with_lgb,105.96695476207462,65.8719740507859,0.015002012252807617
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.7000000000000001,fill_with_gbr,79.7607834848413,25.972917415874743,0.033004045486450195
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.7000000000000001,fill_with_rf,79.40611368971756,28.21304347826087,0.06603527069091797
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.7000000000000001,fill_with_dt,84.97199026994002,23.391304347826093,0.004999399185180664
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.6000000000000001,fill_with_et,59.11242728473998,22.246708860759494,0.0655364990234375
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.6000000000000001,fill_with_ridge,102.7783963281836,54.42565658620413,0.00900125503540039
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.6000000000000001,fill_with_xgb,66.49129614434125,18.827729044081288,0.03603529930114746
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.6000000000000001,fill_with_lgb,92.65340658680829,40.30338338625677,0.014970064163208008
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.6000000000000001,fill_with_gbr,58.261049579398644,21.422912720816704,0.034972190856933594
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.6000000000000001,fill_with_rf,53.263428817220245,25.715063291139238,0.0689995288848877
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.6000000000000001,fill_with_dt,67.2390407991885,20.075949367088608,0.003999948501586914
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.5,fill_with_et,74.37944019850124,37.79909090909092,0.08499503135681152
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.5,fill_with_ridge,122.20819284911585,80.05763792811327,0.0059969425201416016
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.5,fill_with_xgb,92.56340690489128,36.882523507782906,0.03600311279296875
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.5,fill_with_lgb,99.4665434790165,47.92355826972754,0.01996588706970215
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.5,fill_with_gbr,83.11533516751739,36.63237136262371,0.033004045486450195
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.5,fill_with_rf,82.6426098916108,41.18515151515151,0.07403373718261719
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.5,fill_with_dt,92.0610798559436,25.333333333333336,0.00899958610534668
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.4,fill_with_et,50.03953704746405,22.962641509433954,0.0639948844909668
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.4,fill_with_ridge,123.00958092098831,61.954501634750535,0.004998207092285156
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.4,fill_with_xgb,61.70577555228266,21.63195109817217,0.024999141693115234
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.4,fill_with_lgb,91.13495461284481,40.76007379557578,0.01500391960144043
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.4,fill_with_gbr,56.71590971254841,26.524181681749674,0.035997629165649414
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.4,fill_with_rf,57.68948888328147,26.457811320754715,0.07200241088867188
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.4,fill_with_dt,66.81063072115462,16.339622641509436,0.00500035285949707
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.30000000000000004,fill_with_et,43.899622037097316,11.844000000000003,0.07599496841430664
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.30000000000000004,fill_with_ridge,115.88602614330702,58.55034755066962,0.010004281997680664
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.30000000000000004,fill_with_xgb,49.08650970484396,13.22108154296874,0.029999494552612305
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.30000000000000004,fill_with_lgb,85.13376619566579,28.922875920619624,0.017969846725463867
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.30000000000000004,fill_with_gbr,49.134107872710715,9.702269141971708,0.03596687316894531
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.30000000000000004,fill_with_rf,40.52417153173318,11.551333333333337,0.07803797721862793
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.30000000000000004,fill_with_dt,54.67929224121322,17.775000000000002,0.00500035285949707
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.2,fill_with_et,44.201475480071764,19.053461538461544,0.05299854278564453
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.2,fill_with_ridge,110.22402921217781,65.24474654783063,0.007999420166015625
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.2,fill_with_xgb,63.67978562845937,19.525356586162857,0.029999256134033203
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.2,fill_with_lgb,66.46763069580287,28.706417474942533,0.015964984893798828
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.2,fill_with_gbr,47.72381491947491,17.768218415803982,0.04100847244262695
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.2,fill_with_rf,47.61713944821518,15.343076923076914,0.08269500732421875
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.2,fill_with_dt,55.94434047130443,20.846153846153843,0.004993915557861328
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.1,fill_with_et,45.86712254730214,21.29461538461539,0.07803535461425781
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.1,fill_with_ridge,68.57290239513907,48.759841667987665,0.011034488677978516
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.1,fill_with_xgb,52.563086510155934,18.38692533052885,0.04400300979614258
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.1,fill_with_lgb,68.59792120050743,20.262535864305885,0.016941308975219727
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.1,fill_with_gbr,54.19779200803141,27.204642832073276,0.03696846961975098
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.1,fill_with_rf,56.9187767450588,28.333076923076927,0.07903313636779785
Bala_regression_dataset,Ferroelectric_Tc_in_Kelvin,0.1,fill_with_dt,30.161105876481184,15.538461538461538,0.004999876022338867
Bala_regression_dataset,Ionic_Displacements,0.9,fill_with_et,0.00867660990123167,0.003386941176470603,0.056998491287231445
Bala_regression_dataset,Ionic_Displacements,0.9,fill_with_ridge,0.006575167843006862,0.004162087086955087,0.0069997310638427734
Bala_regression_dataset,Ionic_Displacements,0.9,fill_with_xgb,0.008569961862850799,0.001712767913862437,0.018006324768066406
Bala_regression_dataset,Ionic_Displacements,0.9,fill_with_lgb,0.011903092825303817,0.010557271294680117,0.011961936950683594
Bala_regression_dataset,Ionic_Displacements,0.9,fill_with_gbr,0.009695447392001275,0.0030518980524488004,0.030966758728027344
Bala_regression_dataset,Ionic_Displacements,0.9,fill_with_rf,0.008535553061590503,0.0036990756302521244,0.0630347728729248
Bala_regression_dataset,Ionic_Displacements,0.9,fill_with_dt,0.007070366612391005,0.0020672268907563013,0.004999876022338867
Bala_regression_dataset,Ionic_Displacements,0.8,fill_with_et,0.0058609117537210655,0.0017358679245282809,0.07703471183776855
Bala_regression_dataset,Ionic_Displacements,0.8,fill_with_ridge,0.006537542845271386,0.003542047140356645,0.007003068923950195
Bala_regression_dataset,Ionic_Displacements,0.8,fill_with_xgb,0.008067797222547118,0.0014967648192396705,0.018000125885009766
