dataset,column,miss_ratio,method,RMSE,Wasserstein,time
Crystal_structure,μ,0.9,fill_with_et,0.004908738529668031,0.0022086466543588005,0.0952603816986084
Crystal_structure,μ,0.9,fill_with_ridge,0.03189909450457971,0.0161251088884814,0.01654815673828125
Crystal_structure,μ,0.9,fill_with_xgb,0.020009967835594736,0.0069678091755162475,0.04681515693664551
Crystal_structure,μ,0.9,fill_with_lgb,0.027658277113970384,0.013561090345335827,0.04114270210266113
Crystal_structure,μ,0.9,fill_with_gbr,0.007826737070024872,0.002906777401642973,0.048037052154541016
Crystal_structure,μ,0.9,fill_with_rf,0.007397657599760903,0.0035847039777796587,0.07735919952392578
Crystal_structure,μ,0.9,fill_with_dt,0.008743380226086882,0.0029957706940789623,0.017092227935791016
Crystal_structure,μ,0.8,fill_with_et,0.002341349248972884,0.000767195774407692,0.07807445526123047
Crystal_structure,μ,0.8,fill_with_ridge,0.02534535562861049,0.010293747945555338,0.02192378044128418
Crystal_structure,μ,0.8,fill_with_xgb,0.0019712763490069493,0.0004931373840237061,0.044411659240722656
Crystal_structure,μ,0.8,fill_with_lgb,0.01819673072192145,0.008775857235597062,0.04397869110107422
Crystal_structure,μ,0.8,fill_with_gbr,0.001768580993706577,0.0003221652644361773,0.06355428695678711
Crystal_structure,μ,0.8,fill_with_rf,0.003258548863565785,0.0011587301640000594,0.10430741310119629
Crystal_structure,μ,0.8,fill_with_dt,0.003011692997762885,0.0006349206351851985,0.017195940017700195
Crystal_structure,μ,0.7000000000000001,fill_with_et,0.0006990059942570288,0.000285110233108136,0.11479830741882324
Crystal_structure,μ,0.7000000000000001,fill_with_ridge,0.0215421525422336,0.008756832374630881,0.016260623931884766
Crystal_structure,μ,0.7000000000000001,fill_with_xgb,0.0014641490799513117,0.00034305863519292656,0.03811907768249512
Crystal_structure,μ,0.7000000000000001,fill_with_lgb,0.00568174225095736,0.002936677692670079,0.048854827880859375
Crystal_structure,μ,0.7000000000000001,fill_with_gbr,0.0011752226902845232,0.00020128652087092388,0.07207918167114258
Crystal_structure,μ,0.7000000000000001,fill_with_rf,0.0017965542335872712,0.000756115981332211,0.10599422454833984
Crystal_structure,μ,0.7000000000000001,fill_with_dt,0.0035372877608329067,0.0006946541902748854,0.016053199768066406
Crystal_structure,μ,0.6000000000000001,fill_with_et,0.001140169893829773,0.0002795414457288124,0.09674644470214844
Crystal_structure,μ,0.6000000000000001,fill_with_ridge,0.020633410304947343,0.00860601409579775,0.01425313949584961
Crystal_structure,μ,0.6000000000000001,fill_with_xgb,0.002156583962456778,0.0005176476404578628,0.04407644271850586
Crystal_structure,μ,0.6000000000000001,fill_with_lgb,0.006762264013777426,0.0025766745975093585,0.04180622100830078
Crystal_structure,μ,0.6000000000000001,fill_with_gbr,0.001812662218860987,0.0004103332172131648,0.07391905784606934
Crystal_structure,μ,0.6000000000000001,fill_with_rf,0.0026530334546756907,0.0008552028213336712,0.11278867721557617
Crystal_structure,μ,0.6000000000000001,fill_with_dt,0.002794732791910693,0.0005996472567901801,0.014379262924194336
Crystal_structure,μ,0.5,fill_with_et,0.0010689390595130408,0.00026944210218981634,0.10335469245910645
Crystal_structure,μ,0.5,fill_with_ridge,0.017615483494808234,0.009063149339865208,0.015843629837036133
Crystal_structure,μ,0.5,fill_with_xgb,0.0017306535932802775,0.00037054774531631034,0.05295205116271973
Crystal_structure,μ,0.5,fill_with_lgb,0.004994025007043477,0.0021266239755103403,0.044892311096191406
Crystal_structure,μ,0.5,fill_with_gbr,0.0014759157367815832,0.00026661654506805483,0.07828760147094727
Crystal_structure,μ,0.5,fill_with_rf,0.0019382915103294185,0.0004687235963613259,0.11233639717102051
Crystal_structure,μ,0.5,fill_with_dt,0.002577151579643857,0.0005071851360947383,0.012427091598510742
Crystal_structure,μ,0.4,fill_with_et,0.0009050751199714574,0.00013862433751896943,0.11093759536743164
Crystal_structure,μ,0.4,fill_with_ridge,0.01396551380640027,0.006989085439970178,0.01596546173095703
Crystal_structure,μ,0.4,fill_with_xgb,0.0005442765806716338,0.00012098872011435458,0.03687691688537598
Crystal_structure,μ,0.4,fill_with_lgb,0.0037350243783456404,0.0012242756170826132,0.045937538146972656
Crystal_structure,μ,0.4,fill_with_gbr,0.0008254894158698607,6.953395628503347e-05,0.08583736419677734
Crystal_structure,μ,0.4,fill_with_rf,0.0013110380746327846,0.00036878306859300315,0.13632941246032715
Crystal_structure,μ,0.4,fill_with_dt,0.002916059231855314,0.0004497354481482108,0.013320207595825195
Crystal_structure,μ,0.30000000000000004,fill_with_et,0.0011666893967418527,0.00020478536379357125,0.09139800071716309
Crystal_structure,μ,0.30000000000000004,fill_with_ridge,0.01551919433355247,0.006337206694068849,0.009930133819580078
Crystal_structure,μ,0.30000000000000004,fill_with_xgb,0.0016191433800751118,0.00021040606949032675,0.1030278205871582
Crystal_structure,μ,0.30000000000000004,fill_with_lgb,0.00402122144701132,0.0011832873261269053,0.048413991928100586
Crystal_structure,μ,0.30000000000000004,fill_with_gbr,0.001285225599950078,0.0001301807637095314,0.09000062942504883
Crystal_structure,μ,0.30000000000000004,fill_with_rf,0.0020232761203770465,0.0003954961324634271,0.1402895450592041
Crystal_structure,μ,0.30000000000000004,fill_with_dt,0.0018758061461941972,0.00021111892610847842,0.010216236114501953
Crystal_structure,μ,0.2,fill_with_et,0.0003016708272273583,7.830687748198633e-05,0.11882638931274414
Crystal_structure,μ,0.2,fill_with_ridge,0.011614340676620004,0.0058088591484900115,0.013044357299804688
Crystal_structure,μ,0.2,fill_with_xgb,0.00016433681148809144,6.804000628559472e-05,0.029703140258789062
Crystal_structure,μ,0.2,fill_with_lgb,0.001243835733657234,0.00040438384089089844,0.046048879623413086
Crystal_structure,μ,0.2,fill_with_gbr,6.508454629133249e-05,9.464645301190861e-06,0.09417176246643066
Crystal_structure,μ,0.2,fill_with_rf,0.0010385793075252925,0.00019312169074128753,0.15789437294006348
Crystal_structure,μ,0.2,fill_with_dt,1.7066272943507464e-16,1.3240437552937053e-16,0.010192155838012695
Crystal_structure,μ,0.1,fill_with_et,0.00023989167831741282,7.247899073581456e-05,0.0929861068725586
Crystal_structure,μ,0.1,fill_with_ridge,0.010306719930329512,0.005585127285748787,0.00629425048828125
Crystal_structure,μ,0.1,fill_with_xgb,0.00038654574478282343,0.00014452349228555322,0.0327913761138916
Crystal_structure,μ,0.1,fill_with_lgb,0.002557580821363436,0.0007450798180236738,0.05110883712768555
Crystal_structure,μ,0.1,fill_with_gbr,8.257431994471613e-05,2.169618388347292e-05,0.08855438232421875
Crystal_structure,μ,0.1,fill_with_rf,0.0007579114699518446,0.00025840336735333735,0.14051580429077148
Crystal_structure,μ,0.1,fill_with_dt,0.001732397287040147,0.0002100840294119044,0.008023738861083984
Crystal_structure,τ,0.9,fill_with_et,0.27718789216143047,0.08720062530899658,0.09104704856872559
Crystal_structure,τ,0.9,fill_with_ridge,0.8083432969603446,0.4005290096019071,0.018482208251953125
Crystal_structure,τ,0.9,fill_with_xgb,0.305579183033646,0.10105361176604638,0.05014967918395996
Crystal_structure,τ,0.9,fill_with_lgb,0.8567336325875611,0.33118044512127304,0.03859758377075195
Crystal_structure,τ,0.9,fill_with_gbr,0.5453759031596529,0.14879671456993637,0.05045008659362793
Crystal_structure,τ,0.9,fill_with_rf,0.6104977634375388,0.17037446164236825,0.08415675163269043
Crystal_structure,τ,0.9,fill_with_dt,0.9268726813746222,0.11911761702960531,0.015997648239135742
Crystal_structure,τ,0.8,fill_with_et,0.19475169169095952,0.05444253401242542,0.10143017768859863
Crystal_structure,τ,0.8,fill_with_ridge,0.7398333017582219,0.3604148655605862,0.017827272415161133
Crystal_structure,τ,0.8,fill_with_xgb,0.21226259189397836,0.06480168785687408,0.040879249572753906
Crystal_structure,τ,0.8,fill_with_lgb,0.5443027866348842,0.1463319962925358,0.038005828857421875
Crystal_structure,τ,0.8,fill_with_gbr,0.1404913161554552,0.05449056722074871,0.0588679313659668
Crystal_structure,τ,0.8,fill_with_rf,0.16696527332301483,0.0579798035591291,0.108245849609375
Crystal_structure,τ,0.8,fill_with_dt,0.24935505270983582,0.057140147570370295,0.01204371452331543
