dataset,column,miss_ratio,method,RMSE,Wasserstein,time
PUE,logTS,0.9,fill_with_et,0.15647688033798604,0.05692790348027296,0.09435319900512695
PUE,logTS,0.9,fill_with_ridge,0.2131680362920194,0.041179509881049445,0.00798940658569336
PUE,logTS,0.9,fill_with_xgb,0.21820598651475606,0.08248591410037565,0.03650689125061035
PUE,logTS,0.9,fill_with_lgb,0.35152208180975614,0.2652207564138614,0.02197575569152832
PUE,logTS,0.9,fill_with_gbr,0.16616413351904724,0.0650568538717227,0.05095314979553223
PUE,logTS,0.9,fill_with_rf,0.18152968584178428,0.08740506069815696,0.08942914009094238
PUE,logTS,0.9,fill_with_dt,0.22984551836149927,0.095627050109215,0.009181022644042969
PUE,logTS,0.8,fill_with_et,0.14029707436498218,0.04752046800015304,0.0849299430847168
PUE,logTS,0.8,fill_with_ridge,0.185522630061823,0.044795903103935594,0.008000612258911133
PUE,logTS,0.8,fill_with_xgb,0.1689594886839302,0.057031673804022076,0.048601388931274414
PUE,logTS,0.8,fill_with_lgb,0.21142062248137442,0.08150545272281452,0.019182205200195312
PUE,logTS,0.8,fill_with_gbr,0.15915963434233701,0.05241319203977984,0.057013511657714844
PUE,logTS,0.8,fill_with_rf,0.1537196266429728,0.07980702711701154,0.10886216163635254
PUE,logTS,0.8,fill_with_dt,0.1990474459219051,0.03915544226436782,0.007994413375854492
PUE,logTS,0.7000000000000001,fill_with_et,0.1278289962388902,0.04717356287390341,0.10039472579956055
PUE,logTS,0.7000000000000001,fill_with_ridge,0.1765126847588732,0.042805280723359526,0.008999347686767578
PUE,logTS,0.7000000000000001,fill_with_xgb,0.1599453636345031,0.06096197577612679,0.04422760009765625
PUE,logTS,0.7000000000000001,fill_with_lgb,0.18822071069007998,0.06999534057746536,0.024039745330810547
PUE,logTS,0.7000000000000001,fill_with_gbr,0.14536447909614392,0.05175311625969238,0.06519389152526855
PUE,logTS,0.7000000000000001,fill_with_rf,0.1506903423685737,0.07525990772486833,0.13052773475646973
PUE,logTS,0.7000000000000001,fill_with_dt,0.19097170399923322,0.03920093849999999,0.008095979690551758
PUE,logTS,0.6000000000000001,fill_with_et,0.1298793161829155,0.03141054519826527,0.11975741386413574
PUE,logTS,0.6000000000000001,fill_with_ridge,0.17292938633222144,0.034596145275639756,0.010996103286743164
PUE,logTS,0.6000000000000001,fill_with_xgb,0.1404563294403508,0.043033803410436985,0.03716611862182617
PUE,logTS,0.6000000000000001,fill_with_lgb,0.1653571333206314,0.04089153744329417,0.020062923431396484
PUE,logTS,0.6000000000000001,fill_with_gbr,0.1424789830638144,0.03697443226757028,0.07462859153747559
PUE,logTS,0.6000000000000001,fill_with_rf,0.1315313956071765,0.04755712357045905,0.15484309196472168
PUE,logTS,0.6000000000000001,fill_with_dt,0.1567160649565868,0.029917326887755093,0.010035276412963867
PUE,logTS,0.5,fill_with_et,0.11935881934607626,0.03266728467932503,0.10663414001464844
PUE,logTS,0.5,fill_with_ridge,0.16183082925704978,0.06386381813553055,0.012509584426879883
PUE,logTS,0.5,fill_with_xgb,0.1372835209857331,0.0324463123342061,0.06099867820739746
PUE,logTS,0.5,fill_with_lgb,0.1492765263817216,0.043301082659584475,0.01996445655822754
PUE,logTS,0.5,fill_with_gbr,0.1329715668949032,0.04633694454626765,0.0772252082824707
PUE,logTS,0.5,fill_with_rf,0.1340267374340083,0.05925576104895691,0.17204928398132324
PUE,logTS,0.5,fill_with_dt,0.16780922117115535,0.02772518904907976,0.009017229080200195
PUE,logTS,0.4,fill_with_et,0.11369833342408904,0.04542979762438458,0.1139988899230957
PUE,logTS,0.4,fill_with_ridge,0.17162737352860008,0.0512818991152606,0.011187076568603516
PUE,logTS,0.4,fill_with_xgb,0.1218025584887215,0.04426920184397823,0.04262542724609375
PUE,logTS,0.4,fill_with_lgb,0.126553098047834,0.04876591149360876,0.018054723739624023
PUE,logTS,0.4,fill_with_gbr,0.12983223019941856,0.04561646210280792,0.08320879936218262
PUE,logTS,0.4,fill_with_rf,0.12205785043082534,0.05504569555900001,0.1839613914489746
PUE,logTS,0.4,fill_with_dt,0.16958462446448144,0.04255680394615384,0.00804591178894043
