dataset,column,miss_ratio,method,RMSE,Wasserstein,time
bandgap,target,0.9,fill_with_et,0.8368615595346235,0.2513182762703131,0.33142733573913574
bandgap,target,0.9,fill_with_ridge,0.9780788402836342,0.2756350802405603,0.20008444786071777
bandgap,target,0.9,fill_with_xgb,1.1857885070436098,0.2310305725084218,0.278456449508667
bandgap,target,0.9,fill_with_lgb,0.9065081246809711,0.2137126238737836,0.20665788650512695
bandgap,target,0.9,fill_with_gbr,0.8814672065385705,0.20524451859494694,0.2912628650665283
bandgap,target,0.9,fill_with_rf,0.8597502259463471,0.24346473672716318,0.38166213035583496
bandgap,target,0.9,fill_with_dt,1.1251842862815506,0.10492359603445199,0.18105149269104004
bandgap,target,0.8,fill_with_et,0.7647190900903971,0.19886597120054889,0.3607053756713867
bandgap,target,0.8,fill_with_ridge,0.9901829555354744,0.31408456837745524,0.18486833572387695
bandgap,target,0.8,fill_with_xgb,0.8562764550440182,0.1570680686561339,0.2816331386566162
bandgap,target,0.8,fill_with_lgb,0.819999379368683,0.15553098526912842,0.19490671157836914
bandgap,target,0.8,fill_with_gbr,0.7910380127577193,0.17236323682804286,0.32177162170410156
bandgap,target,0.8,fill_with_rf,0.8100412250427769,0.2014841809509215,0.5316290855407715
bandgap,target,0.8,fill_with_dt,1.1403804510617588,0.12125486234390742,0.1722269058227539
bandgap,target,0.7000000000000001,fill_with_et,0.7173282048084333,0.165181925312615,0.4036290645599365
bandgap,target,0.7000000000000001,fill_with_ridge,0.9588636196976094,0.1994070581558657,0.18531322479248047
bandgap,target,0.7000000000000001,fill_with_xgb,0.7919232509556343,0.1484151099392591,0.27310943603515625
bandgap,target,0.7000000000000001,fill_with_lgb,0.769015010689201,0.1426942336304317,0.19724822044372559
bandgap,target,0.7000000000000001,fill_with_gbr,0.7918631999532507,0.19064688974087007,0.3615100383758545
bandgap,target,0.7000000000000001,fill_with_rf,0.7791931015474758,0.18611975231824943,0.676302433013916
bandgap,target,0.7000000000000001,fill_with_dt,1.019132176224412,0.08772610506415411,0.1686539649963379
bandgap,target,0.6000000000000001,fill_with_et,0.7118154135445514,0.1668000348987988,0.45979976654052734
bandgap,target,0.6000000000000001,fill_with_ridge,0.9464108041050425,0.18780234292340425,0.1532149314880371
bandgap,target,0.6000000000000001,fill_with_xgb,0.7670579880757851,0.13486134647396153,0.25896215438842773
