dataset,column,miss_ratio,method,RMSE,Wasserstein,time
glass,Type of glass,0.9,fill_with_et,1.305377479005326,0.4883937823834197,0.04799652099609375
glass,Type of glass,0.9,fill_with_ridge,1.3231784402276527,0.48645231384757437,0.004998445510864258
glass,Type of glass,0.9,fill_with_xgb,1.4424297010994247,0.40458372096323586,0.032962799072265625
glass,Type of glass,0.9,fill_with_lgb,2.132199281777813,1.8911917098445599,0.012992620468139648
glass,Type of glass,0.9,fill_with_gbr,1.691914171285771,0.39939153585432347,0.03800654411315918
glass,Type of glass,0.9,fill_with_rf,1.2901164746389044,0.6481347150259068,0.06275415420532227
glass,Type of glass,0.9,fill_with_dt,1.8770498294334559,0.3419689119170983,0.004999876022338867
glass,Type of glass,0.8,fill_with_et,1.069731889675854,0.3514619883040936,0.08100128173828125
glass,Type of glass,0.8,fill_with_ridge,1.3179122870001108,0.41900472552992685,0.010999441146850586
glass,Type of glass,0.8,fill_with_xgb,1.4717924194922376,0.4120456440406934,0.02900099754333496
glass,Type of glass,0.8,fill_with_lgb,1.4722295599651887,0.7607764282201034,0.015963077545166016
glass,Type of glass,0.8,fill_with_gbr,1.1622747073117423,0.4309385617999287,0.03596806526184082
glass,Type of glass,0.8,fill_with_rf,1.1220889562467828,0.46988304093567257,0.06403326988220215
glass,Type of glass,0.8,fill_with_dt,1.504379571363837,0.29824561403508776,0.005000114440917969
glass,Type of glass,0.7000000000000001,fill_with_et,1.0531574747713026,0.37099999999999994,0.06863903999328613
glass,Type of glass,0.7000000000000001,fill_with_ridge,1.2951933235345214,0.4665135625184844,0.011998176574707031
glass,Type of glass,0.7000000000000001,fill_with_xgb,1.1838532927804895,0.21046489278475433,0.023997068405151367
glass,Type of glass,0.7000000000000001,fill_with_lgb,1.2839537750590302,0.6185470061013979,0.01596522331237793
glass,Type of glass,0.7000000000000001,fill_with_gbr,1.0668996892362321,0.30779195943743737,0.04099917411804199
glass,Type of glass,0.7000000000000001,fill_with_rf,1.049339474780842,0.41519999999999996,0.07100272178649902
glass,Type of glass,0.7000000000000001,fill_with_dt,1.2220201853215573,0.11999999999999983,0.0049932003021240234
glass,Type of glass,0.6000000000000001,fill_with_et,0.9101532322911345,0.351953125,0.082000732421875
glass,Type of glass,0.6000000000000001,fill_with_ridge,1.2093636533443697,0.5228062600640632,0.005997419357299805
glass,Type of glass,0.6000000000000001,fill_with_xgb,1.3053406194797146,0.2153497450053692,0.028994321823120117
glass,Type of glass,0.6000000000000001,fill_with_lgb,1.0108229398063109,0.3741196117438016,0.01696920394897461
glass,Type of glass,0.6000000000000001,fill_with_gbr,1.0938300936017131,0.25801853123218466,0.04500174522399902
glass,Type of glass,0.6000000000000001,fill_with_rf,1.0535227364656161,0.48742187499999995,0.07503437995910645
glass,Type of glass,0.6000000000000001,fill_with_dt,1.3491895715576814,0.1796875,0.0060002803802490234
glass,Type of glass,0.5,fill_with_et,0.9589246313439502,0.3246728971962617,0.07499980926513672
glass,Type of glass,0.5,fill_with_ridge,1.1707631347293008,0.4372677801683501,0.006032466888427734
glass,Type of glass,0.5,fill_with_xgb,0.9968465060082004,0.22151008721824006,0.026991605758666992
glass,Type of glass,0.5,fill_with_lgb,1.1026085461221038,0.35778987428193265,0.017040491104125977
glass,Type of glass,0.5,fill_with_gbr,0.9998389638690823,0.28274251045779025,0.04801201820373535
glass,Type of glass,0.5,fill_with_rf,0.9930167385249125,0.31196261682242993,0.07605171203613281
glass,Type of glass,0.5,fill_with_dt,1.3739907085892975,0.14953271028037385,0.006000041961669922
glass,Type of glass,0.4,fill_with_et,0.9323706968148826,0.40872093023255807,0.07200098037719727
glass,Type of glass,0.4,fill_with_ridge,1.0689275988022948,0.5018435564528637,0.005000114440917969
glass,Type of glass,0.4,fill_with_xgb,1.3947927942596916,0.34905905085940697,0.02700042724609375
glass,Type of glass,0.4,fill_with_lgb,0.917710944079148,0.4378168308351625,0.01698780059814453
glass,Type of glass,0.4,fill_with_gbr,1.0955322803278305,0.4227439042256438,0.05099058151245117
glass,Type of glass,0.4,fill_with_rf,1.012991769750078,0.42034883720930233,0.08662247657775879
glass,Type of glass,0.4,fill_with_dt,1.6600644425709419,0.08139534883720939,0.00900888442993164
glass,Type of glass,0.30000000000000004,fill_with_et,0.9688483821011418,0.34828124999999993,0.07500028610229492
glass,Type of glass,0.30000000000000004,fill_with_ridge,1.2060144464930718,0.4952471956169308,0.005000114440917969
glass,Type of glass,0.30000000000000004,fill_with_xgb,1.1450585676223564,0.4226871421560645,0.03428792953491211
glass,Type of glass,0.30000000000000004,fill_with_lgb,1.0625964367259118,0.39175738502982577,0.020030975341796875
glass,Type of glass,0.30000000000000004,fill_with_gbr,1.027354594174973,0.377243347325498,0.051995038986206055
glass,Type of glass,0.30000000000000004,fill_with_rf,1.0350558559807292,0.40468750000000003,0.08800292015075684
glass,Type of glass,0.30000000000000004,fill_with_dt,1.5360257159305635,0.453125,0.005032539367675781
glass,Type of glass,0.2,fill_with_et,1.240723719785033,0.5376744186046511,0.08896088600158691
glass,Type of glass,0.2,fill_with_ridge,1.3602026688859383,0.6348387314538926,0.0049936771392822266
glass,Type of glass,0.2,fill_with_xgb,1.4898664195913456,0.43529128058012134,0.029964447021484375
glass,Type of glass,0.2,fill_with_lgb,1.2235315801410975,0.5278822998687428,0.017005443572998047
