Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
BiFeO3-PT,0.2,0.8,1.0152,0.0878,816.0
BiFeO3-PT,0.3,0.7,1.0095,0.0935,840.0
BiFeO3-PT,0.4,0.6,1.0036,0.0994,864.0
BiFeO3-PT,0.5,0.5,0.9975,0.1055,915.0
BiFeO3-PT,0.6,0.4,0.9916,0.1114,956.0
BiFeO3-PT,0.7,0.31,0.9858,0.1172,
BiFeO3-PT,0.8,0.2,0.9798,0.1232,1065.0
BiFeO3-PT,0.9,0.1,0.9737,0.1293,1101.0
BiZnTiO3-PT,0.0,1.0,1.0272,0.0758,768.0
BiZnTiO3-PT,0.1,0.9,1.0201,0.0841,803.0
BiZnTiO3-PT,0.2,0.8,1.0127,0.0927,840.0
BiZnTiO3-PT,0.25,0.75,1.0091,0.0969,864.0
BiZnTiO3-PT,0.3,0.7,1.0056,0.1009,922.0
BiZnTiO3-PT,0.4,0.6,0.9983,0.1094,990.0
Bi(MgW)O3-PT,0.05,0.95,1.0233,0.0756,755.0
Bi(MgW)O3-PT,0.1,0.9,1.0189,0.0753,736.0
Bi(MgW)O3-PT,0.13,0.87,1.0165,0.0752,725.0
Bi(MgW)O3-PT,0.15,0.85,1.0151,0.0751,707.0
Bi(MgW)O3-PT,0.17,0.83,1.0132,0.075,
Bi(MgW)O3-PT,0.2,0.8,1.0108,0.0748,682.0
Bi(MgW)O3-PT,0.25,0.75,1.0068,0.0746,643.0
Bi(MgW)O3-PT,0.5,0.5,0.9867,0.0733,
Bi(MgW)O3-PT,0.52,0.48,0.9851,0.0732,493.0
Bi(MgW)O3-PT,0.54,0.46,0.9836,0.0731,470.0
Bi(MgW)O3-PT,0.56,0.44,0.982,0.073,447.0
Bi(MgW)O3-PT,0.58,0.42,0.9803,0.0729,447.0
Bi(MgW)O3-PT,0.6,0.4,0.9787,0.0728,
Bi(MgNb)O3-PT,0.0,1.0,1.027,0.0759,768.0
Bi(MgNb)O3-PT,0.05,0.95,1.0232,0.0765,768.0
Bi(MgNb)O3-PT,0.1,0.9,1.0189,0.0773,
Bi(MgNb)O3-PT,0.15,0.85,1.0148,0.0779,742.0
Bi(MgNb)O3-PT,0.2,0.8,1.011,0.0786,
Bi(MgNb)O3-PT,0.25,0.75,1.0067,0.0793,
BiInO3-PT,0.15,0.85,1.0075,0.075,821.0
BiInO3-PT,0.2,0.8,1.0013,0.0748,834.0
BiInO3-PT,0.3,0.7,0.9884,0.0743,837.0
BiInO3-PT,0.34,0.66,0.983,0.0741,
BiScO3-PT,0.15,0.85,1.0115,0.0774,
BiScO3-PT,0.25,0.75,1.0008,0.0786,769.0
BiScO3-PT,0.3,0.7,0.9954,0.0791,
BiScO3-PT,0.36,0.64,0.9893,0.0798,
BiScO3-PT,0.4,0.6,0.9852,0.0802,694.0
Bi(ZnNb)O3-PT,0.1,0.9,1.0184,0.085,
Bi(ZnNb)O3-PT,0.15,0.85,1.0141,0.0896,809.0
Bi(ZnNb)O3-PT,0.2,0.8,1.0096,0.0944,817.0
Bi(ZnNb)O3-PT,0.25,0.75,1.0051,0.099,809.0
Bi(ZnNb)O3-PT,0.3,0.7,1.0009,0.1035,775.0
Bi(MgTi)O3-PT,0.05,0.95,1.0239,0.0771,779.0
