PO_MW (g/mol),DI_MR,PO_MR,CE_MR,IsoIndex,CHS (%),Tr1,Tr2,Gage_Length (mm),Gage_Width (mm),Thickness (mm),Elongation_Rate (mm/min),Strain_Rate (/min),Young's modulus (Mpa),Tensile strength (Mpa),Elongation at break (%)
2000,0.5,0.125,0.375,1.0,30.3,45.0,65.0,35.0,2.0,0.5,50.0,1.429,37.0,67.7,1540.0
2000,0.5,0.125,0.375,1.0,31.3,45.0,65.0,35.0,2.0,0.5,50.0,1.429,31.2,47.1,1500.0
1413,0.5,0.167,0.333,1.0,40.0,90.0,100.0,22.0,5.0,1.5,50.0,2.5,20.25,31.4,667.0
1413,0.5,0.1,,1.0,50.0,90.0,100.0,22.0,5.0,1.5,50.0,2.5,77.99,35.1,602.0
1413,0.5,0.125,0.375,1.0,40.0,100.0,100.0,22.0,5.0,1.5,50.0,2.5,89.04,26.9,755.0
2300,0.5,0.125,,1.0,35.6,100.0,100.0,7.62,3.18,0.5,25.4,0.508,49.04,49.5,432.0
10800,0.5,0.333,0.167,1.0,3.77,25.0,25.0,24.0,5.0,0.3,25.0,1.042,0.95,1.092,268.0
31500,0.5,0.125,,1.0,3.73,25.0,25.0,24.0,5.0,0.3,25.0,1.042,0.75,1.79,501.0
10800,0.5,0.25,0.25,1.0,5.14,25.0,25.0,24.0,5.0,0.3,25.0,1.042,1.1,1.4,210.0
10800,0.5,0.1667,,1.0,7.75,25.0,25.0,24.0,5.0,0.3,25.0,1.042,1.6,2.1,230.0
10800,0.5,0.25,,1.0,5.6,25.0,25.0,24.0,5.0,0.3,25.0,1.042,1.2,1.65,280.0
10800,0.5,0.1667,,1.0,8.63,25.0,25.0,24.0,5.0,0.3,25.0,1.042,1.3,2.6,310.0
10800,0.5,0.125,0.375,1.0,11.46,25.0,25.0,24.0,5.0,0.3,25.0,1.042,1.5,3.3,280.0
10800,0.5,0.1,,1.0,14.13,25.0,25.0,24.0,5.0,0.3,25.0,1.042,2.2,3.6,225.0
31500,0.5,0.1667,,1.0,2.8,25.0,25.0,24.0,5.0,0.3,25.0,1.042,0.6,1.25,350.0
31500,0.5,0.1,,1.0,4.7,25.0,25.0,24.0,5.0,0.3,25.0,1.042,0.9,2.2,500.0
31500,0.5,0.1667,0.3333,1.0,3.13,25.0,25.0,24.0,5.0,0.3,25.0,1.042,0.7,1.2,600.0
31500,0.5,0.125,,1.0,4.25,25.0,25.0,24.0,5.0,0.3,25.0,1.042,0.8,1.65,420.0
31500,0.5,0.1,,1.0,5.34,25.0,25.0,24.0,5.0,0.3,25.0,1.042,0.9,2.1,400.0
31500,0.5,0.0714,,1.0,7.44,25.0,25.0,24.0,5.0,0.3,25.0,1.042,1.4,3.0,290.0
1000,0.5122,0.2439,,1.05,40.75,120.0,130.0,25.0,6.0,1.0,100.0,4.0,46.0,12.6,316.6
1000,0.5122,0.2927,,1.05,34.1,120.0,130.0,25.0,6.0,1.0,100.0,4.0,32.9,12.1,486.3
1000,0.5122,0.1951,0.2927,1.05,49.63,120.0,130.0,25.0,6.0,1.0,100.0,4.0,102.9,16.4,487.5
1000,0.5122,0.2439,,1.05,41.72,120.0,130.0,25.0,6.0,1.0,100.0,4.0,90.5,13.7,541.1
1000,0.5122,0.2927,,1.05,34.9,120.0,130.0,25.0,6.0,1.0,100.0,4.0,66.7,11.2,502.8
1000,0.5122,0.3902,,1.05,23.75,120.0,130.0,25.0,6.0,1.0,100.0,4.0,42.8,7.8,516.0
1000,0.5122,0.2927,0.1951,1.05,40.01,120.0,130.0,25.0,6.0,1.0,100.0,4.0,71.4,14.04,462.0
1000,0.5122,0.3902,,1.05,26.5,120.0,130.0,25.0,6.0,1.0,100.0,4.0,47.7,11.2,915.0
1000,0.5122,0.1951,,1.05,53.68,120.0,130.0,25.0,6.0,1.0,100.0,4.0,32.6,32.0,516.5
1000,0.5122,0.2439,,1.05,46.24,120.0,130.0,25.0,6.0,1.0,100.0,4.0,15.6,27.9,912.1
1000,0.5122,0.2927,0.1951,1.05,39.79,120.0,130.0,25.0,6.0,1.0,100.0,4.0,9.3,26.0,1182.8
1000,0.5122,0.0976,,1.05,73.43,120.0,130.0,25.0,6.0,1.0,100.0,4.0,126.5,28.7,386.4
1000,0.5122,0.1951,,1.05,54.56,120.0,130.0,25.0,6.0,1.0,100.0,4.0,11.4,23.3,540.2
1000,0.5122,0.0976,0.3902,1.05,73.43,120.0,130.0,25.0,6.0,1.0,100.0,4.0,61.2,29.98,376.0
1000,0.5122,0.1951,0.2927,1.05,54.56,120.0,130.0,25.0,6.0,1.0,100.0,4.0,31.0,29.7,593.0
1000,0.5122,0.2439,0.2439,1.05,47.04,120.0,130.0,25.0,6.0,1.0,100.0,4.0,16.5,22.3,608.0
1000,0.5122,0.2927,0.1951,1.05,40.46,120.0,130.0,25.0,6.0,1.0,100.0,4.0,10.5,21.8,756.0
1000,0.5,0.2,,1.0,52.99,120.0,130.0,25.0,6.0,1.0,100.0,4.0,40.6,29.1,600.3
1000,0.5,0.25,,1.0,45.5,120.0,130.0,25.0,6.0,1.0,100.0,4.0,26.9,26.7,902.8
1000,0.5,0.3,,1.0,39.03,120.0,130.0,25.0,6.0,1.0,100.0,4.0,8.6,19.0,1252.7
