Scenario,"miss_pct [0, 1]",Evaluated: meta,mean,et,missforest,ice,gain,sinkhorn,softimpute
MAR,0.1,0.0104 +/- 0.0019,0.0478 +/- 0.0041,0.0104 +/- 0.0017,0.0233 +/- 0.0029,0.0201 +/- 0.0039,0.0313 +/- 0.0073,0.012 +/- 0.0012,0.0201 +/- 0.0036
MAR,0.2,0.0199 +/- 0.0066,0.0814 +/- 0.0147,0.0198 +/- 0.0063,0.0361 +/- 0.0105,0.032 +/- 0.0114,0.0536 +/- 0.0199,0.0262 +/- 0.0036,0.0335 +/- 0.0099
MAR,0.3,0.0327 +/- 0.0068,0.1344 +/- 0.0137,0.0332 +/- 0.0071,0.0657 +/- 0.0139,0.0661 +/- 0.0125,0.0938 +/- 0.018,0.0424 +/- 0.0105,0.0682 +/- 0.0121
MAR,0.4,0.035 +/- 0.0076,0.1554 +/- 0.0312,0.0353 +/- 0.0079,0.0661 +/- 0.0158,0.0696 +/- 0.018,0.1038 +/- 0.0443,0.0512 +/- 0.0104,0.0628 +/- 0.0145
MAR,0.5,0.0365 +/- 0.0104,0.1787 +/- 0.0221,0.0358 +/- 0.0102,0.0675 +/- 0.0138,0.0708 +/- 0.0208,0.1365 +/- 0.03,0.0456 +/- 0.0088,0.0871 +/- 0.0129
MCAR,0.1,0.0143 +/- 0.0017,0.066 +/- 0.0054,0.0145 +/- 0.0016,0.0289 +/- 0.0045,0.029 +/- 0.0048,0.044 +/- 0.0057,0.0168 +/- 0.002,0.0251 +/- 0.0014
MCAR,0.2,0.033 +/- 0.0043,0.1421 +/- 0.0081,0.0328 +/- 0.0041,0.0649 +/- 0.0051,0.0672 +/- 0.0059,0.0793 +/- 0.0079,0.0336 +/- 0.0048,0.0546 +/- 0.0042
MCAR,0.3,0.0514 +/- 0.0042,0.215 +/- 0.0067,0.0515 +/- 0.0035,0.098 +/- 0.0036,0.102 +/- 0.0039,0.1242 +/- 0.0128,0.0464 +/- 0.005,0.0934 +/- 0.0067
MCAR,0.4,0.0753 +/- 0.0084,0.276 +/- 0.0137,0.0749 +/- 0.008,0.1183 +/- 0.0128,0.1248 +/- 0.0174,0.1671 +/- 0.0213,0.0661 +/- 0.0041,0.1223 +/- 0.0077
MCAR,0.5,0.0986 +/- 0.0096,0.3475 +/- 0.0252,0.0984 +/- 0.0094,0.1442 +/- 0.0064,0.1524 +/- 0.0083,0.2301 +/- 0.0286,0.0748 +/- 0.0053,0.1771 +/- 0.0243
MNAR,0.1,0.0148 +/- 0.0017,0.0722 +/- 0.0032,0.0145 +/- 0.0018,0.0304 +/- 0.0026,0.0273 +/- 0.003,0.0517 +/- 0.0111,0.0191 +/- 0.0006,0.0336 +/- 0.0047
MNAR,0.2,0.0383 +/- 0.0033,0.1523 +/- 0.0067,0.0388 +/- 0.0034,0.068 +/- 0.0045,0.0667 +/- 0.0074,0.0903 +/- 0.01,0.045 +/- 0.0077,0.0671 +/- 0.0102
MNAR,0.3,0.0562 +/- 0.005,0.2249 +/- 0.0154,0.0556 +/- 0.0039,0.0976 +/- 0.0092,0.0969 +/- 0.0095,0.1595 +/- 0.0321,0.0557 +/- 0.0051,0.1028 +/- 0.0142
MNAR,0.4,0.0737 +/- 0.008,0.2775 +/- 0.0046,0.0729 +/- 0.009,0.1092 +/- 0.0063,0.1147 +/- 0.0138,0.2305 +/- 0.0495,0.0627 +/- 0.0084,0.1241 +/- 0.0059
MNAR,0.5,0.095 +/- 0.0025,0.341 +/- 0.0175,0.0939 +/- 0.0037,0.1329 +/- 0.0138,0.142 +/- 0.0129,0.5559 +/- 0.0801,0.1032 +/- 0.0101,0.1878 +/- 0.0328
